id,nafis_raw_id,nafis_price_date,county,town,variety,commodity,unit,kg,code,rowno,price,average,max,min,price_date
8252,42,2011-01-27,Kisumu,Kisumu,OTHERS,Eggs,Tray,5,47,49,290,281,300,250,27/01/2011
8253,1210,2011-01-02,Kisumu,Kisumu,CEREAL,Dry Maize,Bag,90,20,8,3520,3130,3733,2550,02/01/2011
8254,1211,2011-01-02,Kisumu,Kisumu,CEREAL,Green Maize,Ext Bag,115,19,9,1920,2616,4600,1450,02/01/2011
8255,1212,2011-01-02,Kisumu,Kisumu,CEREAL,Finger Millet,Bag,90,41,10,4800,5386,9000,3778,02/01/2011
8256,1213,2011-01-02,Kisumu,Kisumu,CEREAL,Sorghum,Bag,90,42,11,3600,3482,5400,2500,02/01/2011
8257,1214,2011-01-02,Kisumu,Kisumu,CEREAL,Wheat,Bag,90,48,12,4103,4103,5280,2900,02/01/2011
8258,1215,2011-01-02,Kisumu,Kisumu,LEGUMES,Beans Canadian,Bag,90,4,13,7360,5942,7360,4275,02/01/2011
8259,1216,2011-01-02,Kisumu,Kisumu,LEGUMES,Beans Rosecoco,Bag,90,5,14,6720,5454,7120,4275,02/01/2011
8260,1217,2011-01-02,Kisumu,Kisumu,LEGUMES,Beans Mwitemania,Bag,90,7,15,5624,5624,6450,4200,02/01/2011
8261,1218,2011-01-02,Kisumu,Kisumu,LEGUMES,Mwezi Moja,Bag,90,6,16,5714,5714,7120,4080,02/01/2011
8262,1219,2011-01-02,Kisumu,Kisumu,OTHERS,Beans Dolichos (Njahi),Bag,90,0,17,6894,6894,9000,5360,02/01/2011
8263,1220,2011-01-02,Kisumu,Kisumu,LEGUMES,Green Gram,Bag,90,46,18,8080,8070,9920,10400,02/01/2011
8264,1221,2011-01-02,Kisumu,Kisumu,LEGUMES,Cowpeas,Bag,90,45,19,7200,6718,9600,4600,02/01/2011
8265,1222,2011-01-02,Kisumu,Kisumu,LEGUMES,Fresh Peas,Bag,51,27,20,2000,2657,5100,1200,02/01/2011
8266,1228,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Cabbages,Ext Bag,126,9,26,920,1568,990,1100,02/01/2011
8267,1229,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Cooking Bananas,Med Bunch,22,2,27,300,511,850,250,02/01/2011
8268,1230,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Ripe Bananas,Med Bunch,14,3,28,300,585,900,1300,02/01/2011
8269,1231,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Carrots,Ext Bag,138,13,29,2600,2418,920,1000,02/01/2011
8270,1232,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Tomatoes,Lg Box,64,32,30,3200,2698,800,1200,02/01/2011
8271,1233,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Onions Dry,net,13,22,31,690,762,800,3000,02/01/2011
8272,1234,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Spring Onions,Bag,142,23,32,920,1206,920,1380,02/01/2011
8273,1235,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Chillies,Bag,38,11,33,760,2073,760,1200,02/01/2011
8274,1236,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Cucumber,Bag,50,14,34,1572,1572,1850,1167,02/01/2011
8275,1237,2011-01-02,Kisumu,Kisumu,HORTICULTURE,Capsicums,Bag,50,12,35,880,1927,900,1400,02/01/2011
