id,commodity,unit,kg,nairobi,mombasa,kisumu,nakuru,kitale,malindi,average,max,min,price_date
797,Kales,Bag,50,2600,2750,2800,2600,,2500,2085,300,1500,26/03/2012
1250,Kales,Bag,50,1080,1380,1240,400,575,1250,753,900,1080,02/01/2011
335,Kales,Bag,50,1000,1000,1200,300,,1500,878,600,1000,26/07/2012
1166,Kales,Bag,50,1500,2300,2000,1900,1400,,1657,700,1400,09/03/2018
629,Kales,Bag,50,1500,2590,,,1100,1500,1168,900,1000,13/10/2012
125,Kales,Bag,50,900,1800,1492,1000,1500,2250,1492,900,1000,14/06/2012
923,Kales,Bag,50,1100,1400,1300,500,600,1250,940,700,1100,23/11/2012
377,Kales,Bag,50,1000,1100,1400,500,400,2200,1038,700,1000,11/07/2012
41,Kales,Bag,50,1200,1300,1300,700,500,1500,950,700,1200,27/01/2011
167,Kales,Bag,50,1000,3000,1300,800,,1500,1144,800,1000,03/10/2012
503,Kales,Bag,50,1000,1700,1500,400,,2200,1039,800,1000,03/07/2012
251,Kales,Bag,50,2700,2000,2000,1500,,2500,1950,2700,1000,17/04/2012
83,Kales,Bag,50,1500,2800,1500,1300,1500,1500,1389,800,1000,11/01/2012
755,Kales,Bag,50,1000,1200,1400,500,,2200,1086,800,1000,10/07/2012
839,Kales,Bag,50,1680,1780,1500,1225,900,2500,1249,960,1000,27/04/2012
545,Kales,Bag,50,2660,3010,3000,2660,1500,2700,2074,3010,1333,03/03/2012
671,Kales,Bag,50,1250,1400,800,500,600,,1056,800,1000,04/04/2018
713,Kales,Bag,50,1250,1400,1200,500,,,1063,650,1000,26/04/2018
881,Kales,Bag,50,1350,1900,2300,1200,1500,,1513,800,1200,14/08/2018
965,Kales,Bag,50,1200,2000,2500,1000,2200,,1714,2500,1000,03/08/2018
1007,Kales,Bag,50,1200,2000,2500,1000,1800,,1500,800,1000,06/08/2018
1049,Kales,Bag,50,1250,1800,2500,1000,1800,1400,1544,800,1000,07/08/2018
1091,Kales,Bag,50,1200,2250,2500,1000,2200,,1581,600,1000,01/08/2018
1208,Kales,Bag,50,1100,1500,1500,450,300,2200,983,800,1100,06/07/2012
209,Kales,Bag,50,1250,2750,2500,1000,1500,,1636,2750,1000,13/06/2018
293,Kales,Bag,50,1000,1500,1200,500,600,1500,805,600,1000,09/12/2011
419,Kales,Bag,50,1500,1650,1200,600,70,,3190,70,1200,22/10/2018
461,Kales,Bag,50,1250,1550,1200,800,900,,1072,900,1200,27/03/2018
1292,Kales,Bag,50,1200,2500,2000,900,2000,2500,1490,900,1200,14/05/2012
587,Kales,Bag,50,1200,1800,1300,700,,1150,1229,700,1150,24/04/2018
