REPORT_DATE;LOAD_TYPE;LOAD_WEIGHT;DROPOFF_SITE;ROUTE_TYPE;ROUTE_NUMBER;LOAD_ID
2020-02-22;GARBAGE COLLECTIONS;25560;TDS LANDFILL;GARBAGE COLLECTION;PAT10;680648
2020-02-21;RECYCLING - SINGLE STREAM;13840;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU51;862124
2020-02-21;RECYCLING - SINGLE STREAM;14360;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU52;862134
2020-02-21;RECYCLING - SINGLE STREAM;9880;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU53;862141
2020-02-21;RECYCLING - SINGLE STREAM;9280;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU50;862121
2020-02-21;RECYCLING - SINGLE STREAM;9840;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU53;862138
2020-02-21;RECYCLING - SINGLE STREAM;4400;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU51;862128
2020-02-21;RECYCLING - SINGLE STREAM;3980;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU52;862136
2020-02-21;RECYCLING - SINGLE STREAM;7040;TDS - MRF;RECYCLING - SINGLE STREAM;RHAU50;862122
2020-02-21;RECYCLING - SINGLE STREAM;4300;TDS - MRF;RECYCLING - SINGLE STREAM;RHAU51;862125
2020-02-21;RECYCLING - SINGLE STREAM;15460;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU51;862127
2020-02-20;GARBAGE COLLECTIONS;22660;TDS LANDFILL;GARBAGE COLLECTION;PAH72;862111
2020-02-20;GARBAGE COLLECTIONS;21200;TDS LANDFILL;GARBAGE COLLECTION;PAH74;862115
2020-02-20;GARBAGE COLLECTIONS;26880;TDS LANDFILL;GARBAGE COLLECTION;PAH64;862137
2020-02-20;YARD TRIMMING;4120;HORNSBY BEND;YARD TRIMMINGS;YH05;862077
2020-02-20;YARD TRIMMING;4040;HORNSBY BEND;YARD TRIMMINGS;YH01;862082
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB25;862143
2020-02-20;GARBAGE COLLECTIONS;7820;TDS LANDFILL;GARBAGE COLLECTION;PAH79;862117
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB20;862132
2020-02-20;GARBAGE COLLECTIONS;13720;TDS LANDFILL;GARBAGE COLLECTION;PAH01;862147
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB25;862148
2020-02-20;GARBAGE COLLECTIONS;18720;TDS LANDFILL;GARBAGE COLLECTION;PAH71;862110
2020-02-20;BRUSH;9440;HORNSBY BEND;BRUSH;BR18;862104
2020-02-20;GARBAGE COLLECTIONS;24940;TDS LANDFILL;GARBAGE COLLECTION;PAH63;862135
2020-02-20;BRUSH;8640;HORNSBY BEND;BRUSH;BR18;862099
2020-02-20;GARBAGE COLLECTIONS;25200;TDS LANDFILL;GARBAGE COLLECTION;PAH60;862126
2020-02-20;YARD TRIMMING;5460;HORNSBY BEND;YARD TRIMMINGS;YH02;862083
2020-02-20;GARBAGE COLLECTIONS;25000;TDS LANDFILL;GARBAGE COLLECTION;PAH73;862113
2020-02-20;YARD TRIMMING;9020;HORNSBY BEND;YARD TRIMMINGS;YH06;862114
2020-02-20;ORGANICS;6660;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH1;862119
2020-02-20;ORGANICS;8180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-10;862149
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-DOWNTOWN;SDT01;862133
2020-02-20;BRUSH;7160;HORNSBY BEND;BRUSH;BR18;862107
2020-02-20;YARD TRIMMING;6200;HORNSBY BEND;YARD TRIMMINGS;YH04;862075
2020-02-20;BRUSH;4920;HORNSBY BEND;BRUSH;BR18;862105
2020-02-20;ORGANICS;9380;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-3;862123
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB46;862139
2020-02-20;BRUSH;8760;HORNSBY BEND;BRUSH;BR18;862103
2020-02-20;GARBAGE COLLECTIONS;12740;TDS LANDFILL;GARBAGE COLLECTION;PAH01;862145
2020-02-20;YARD TRIMMING;7940;HORNSBY BEND;YARD TRIMMINGS;YH03;862112
2020-02-20;GARBAGE COLLECTIONS;17840;TDS LANDFILL;GARBAGE COLLECTION;PAH61;862129
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB25;862150
2020-02-20;BRUSH;7700;HORNSBY BEND;BRUSH;BR18;862106
2020-02-20;ORGANICS;4280;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-2;862120
2020-02-20;GARBAGE COLLECTIONS;10000;TDS LANDFILL;GARBAGE COLLECTION;PAH69;862144
2020-02-20;BRUSH;5000;HORNSBY BEND;BRUSH;BR18;862108
2020-02-20;ORGANICS;6720;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-4;862131
2020-02-20;GARBAGE COLLECTIONS;24000;TDS LANDFILL;GARBAGE COLLECTION;PAH62;862130
2020-02-20;GARBAGE COLLECTIONS;20340;TDS LANDFILL;GARBAGE COLLECTION;PAH70;862109
2020-02-20;GARBAGE COLLECTIONS;18520;TDS LANDFILL;GARBAGE COLLECTION;PAH75;862116
2020-02-20;GARBAGE COLLECTIONS;11980;TDS LANDFILL;GARBAGE COLLECTION;PAH04;862175
2020-02-20;GARBAGE COLLECTIONS;7780;TDS LANDFILL;GARBAGE COLLECTION;PAH52;862218
2020-02-20;RECYCLING - SINGLE STREAM;12440;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU21;862187
2020-02-20;GARBAGE COLLECTIONS;15880;TDS LANDFILL;GARBAGE COLLECTION;PAH04;862177
2020-02-20;ORGANICS;9700;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-17;862176
2020-02-20;RECYCLING - SINGLE STREAM;7320;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU13;862233
2020-02-20;GARBAGE COLLECTIONS;22100;TDS LANDFILL;GARBAGE COLLECTION;PAH50;862209
2020-02-20;GARBAGE COLLECTIONS;4820;TDS LANDFILL;GARBAGE COLLECTION;PAH09;862185
2020-02-20;GARBAGE COLLECTIONS;8760;TDS LANDFILL;GARBAGE COLLECTION;PAH51;862214
2020-02-20;RECYCLING - SINGLE STREAM;10960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU21;862188
2020-02-20;RECYCLING - SINGLE STREAM;11960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU12;862226
2020-02-20;GARBAGE COLLECTIONS;13520;TDS LANDFILL;GARBAGE COLLECTION;PAH06;862182
2020-02-20;RECYCLING - SINGLE STREAM;16080;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU22;862190
2020-02-20;GARBAGE COLLECTIONS;16860;TDS LANDFILL;GARBAGE COLLECTION;PAH53;862227
2020-02-20;GARBAGE COLLECTIONS;21760;TDS LANDFILL;GARBAGE COLLECTION;PAH54;862232
2020-02-20;RECYCLING - SINGLE STREAM;12540;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU10;862222
2020-02-20;ORGANICS;8900;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-8;862165
2020-02-20;GARBAGE COLLECTIONS;14280;TDS LANDFILL;GARBAGE COLLECTION;PAH02;862157
2020-02-20;RECYCLING - SINGLE STREAM;13480;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU13;862231
2020-02-20;GARBAGE COLLECTIONS;23220;TDS LANDFILL;GARBAGE COLLECTION;PAH65;862140
2020-02-20;ORGANICS;10380;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-16;862172
2020-02-20;RECYCLING - SINGLE STREAM;9660;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU10;862223
2020-02-20;ORGANICS;14340;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-12;862155
2020-02-20;RECYCLING - SINGLE STREAM;13560;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAS34;862247
2020-02-20;ORGANICS;6880;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-7;862161
2020-02-20;ORGANICS;7180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-6;862158
2020-02-20;RECYCLING - SINGLE STREAM;7780;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU25;862198
