                                                                                                                                      ,,,,,,,,,,,,,,,,,,,,,
"MINISTRY OF AGRICULTURE, LIVESTOCK AND FISHERIES.",,,,,,,,,,,,,,,,,,,,,
STATE DEPARTMENT OF AGRICULTURE.,,,,,,,,,,,,,,,,,,,,,
AGRIBUSINESS DEPARTMENT.,,,,,,,,,,,,,,,,,,,,,
Market Research and Information Sub division.,,,,,,,,,,,,,,,,,,,,,
E-mail: marketinfo@kilimo.go.ke or info_amdi@yahoo.com,,,,,,,,,,,,,,,,,,,,,
Early Morning wholesale commodity prices -27/03/2018,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
27/3/2018,,,,,,,,,,,,,,,,,,,,,
VARIETY,COMMODITY,Unit,Kg,Nairobi,Mombasa,Kisumu,Nakuru,Eldoret,Busia,Kisii,Loitktk,Isiolo,kitale,Average,Max,Min,,,,,
CEREAL,Dry Maize,Bag,90,2800,2600,3600,2500,2400,3150,"2,600","2,000","3,600","2,300",2755,3600,3200,,,,,
,Green Maize,Ext Bag,115,2400,5600,2400,2500,1800,,,"2,000","3,000","3,000",2837.5,5600,1800,,,,,
,Finger Millet,Bag,90,8100,9000,9600,6300,7200,7200,"7,600",,"9,000","5,400",7711,9600,6300,,,,,
,Sorghum,Bag,90,4500,2880,4200,3100,6300,3600,,,"4,500",,4154,6300,2880,,,,,
,Wheat,Bag,90,,,,,3300,,,,"4,500",,3900,4500,3300,,,,,
LEGUMES,Beans Canadian,Bag,90,7200,,8000,7200,,,,,,"4,800",6800,8000,4800,,,,,
 ,Beans Rosecoco,Bag,90,7200,5600,8800,7200,8100,9900,6000,,"7,200","4,800",7200,9900,4800,,,,,
,Beans Mwitemania,Bag,90,6750,5500,,5500,8100,,,5000,"7,200","4,800",6121,8100,4800,,,,,
,Mwezi Moja,Bag,90,6500,,,5500,,,,,,,6000,6500,5500,,,,,
, Dolichos (Njahi),Bag,90,9500,6300,,5400,11250,,,5000,"9,000","10,800",8179,11250,5000,,,,,
,Green Gram,Bag,90,9800,5400,8800,6700,12600,10800,,6300,"9,000","11,700",9011,12600,5400,,,,,
,Cowpeas,Bag,90,8100,6300,9600,8100,7200,,,,"9,000","7,000",7900,9600,6300,,,,,
,Fresh Peas,Bag,51,4080,500,2500,4000,3060,,,,"5,100","3,500",3249,5100,500,,,,,
,Groundnuts,Bag,110,11200,11550,10000,11000,12150,16500,12800,,"22,000","14,300",13500,22000,10000,,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50,2200,2000,1600,,2000,4200,,"3,000","3,800","3,800",2825,4200,1600,,,,,
,White Irish Potatoes,Bag,50,2000,2000,1600,2700,1800,,4800,2500,"4,200",,2700,4800,1600,,,,,
,Cassava Fresh,Bag,99,3300,2250,3000,,,,,,"2,500","2,500",2710,3300,2250,,,,,
,Sweet Potatoes,Bag,98,3200,3100,3000,3500,2600,3200,3000,,"3,600","2,000",3022,3600,2000,,,,,
HORTICULTURE,Cabbages,Ext Bag,126,1650,3000,1400,1500,1800,4840,1200,2000,"1,000","1,250",1964,4840,1000,,,,,
,Cooking Bananas,Med Bunch,22,550,,350,350,1200,850,300,600,900,350,606,1200,300,,,,,
,Ripe Bananas,Med Bunch,14,650,550,350,750,700,1000,750,500,550,750,655,1000,350,,,,,
,Carrots,Ext Bag,138,3200,4140,3800,2700,1800,4200,4000,2700,"2,500","5,600",3464,5600,1800,,,,,
,Tomatoes,Lg Box,64,5000,4500,5000,3500,6200,5500,5000,1400,"5,000","3,000",4410,6200,1400,,,,,
,Onions Dry,net,13,1300,1700,1300,1500,1560,1820,900,1600,"1,560","1,350",1459,1820,900,,,,,
,Spring Onions,Bag,142,2400,3600,2500,1000,1400,,3000,,,"3,600",2500,3600,1000,,,,,
,Chillies,Bag,38,2280,3420,1500,3500,,,,,"7,600","4,000",3717,7600,1500,,,,,
,Cucumber,Bag,50,2250,2500,,,,,,,,3000,2583,3000,2250,,,,,
,Capsicums,Bag,50,2750,3000,2700,3500,2000,3200,,2500,"3,000","4,000",2961,4000,2000,,,,,
,Brinjals,Bag,44,2200,,1500,3500,,,,,"2,640","2,700",2508,3500,1500,,,,,
 ,Cauliflower,crate,39,2340,2730,,,,,,,,,2535,2730,2340,,,,,
,Lettuce,Bag,51,2550,3000,,,,,,,,,2775,3000,2550,,,,,
,Passion Fruits,Bag,57,5000,5500,3100,5000,4560,,,,"4,500","3,000",4380,5500,3000,,,,,
