county,nafis_date,variety,commodity,unit,kg,nafis_prices,season,avg_temp,max_temp,min_temp,precipitation_mm,annual_avg_inflation,twelve_month_inflation,household_sizes,total_household_demand_kg
Nairobi,01/08/2018,Horticulture,Kales,Bag,50,0,peak,21,25,14,0,4.96,4.05,1393255,8526721
Nairobi,02/08/2018,Horticulture,Kales,Bag,50,0,peak,21,27,9,0,4.96,4.05,1393255,8526721
Nairobi,03/08/2018,Horticulture,Kales,Bag,50,0,peak,21,25,10,0,4.96,4.05,1393255,8526721
Nairobi,04/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,14,0,4.96,4.05,1393255,8526721
Nairobi,05/08/2018,Horticulture,Kales,Bag,50,0,peak,21,22,12,0,4.96,4.05,1393255,8526721
Nairobi,06/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,10,0,4.96,4.05,1393255,8526721
Nairobi,08/08/2018,Horticulture,Kales,Bag,50,0,peak,21,25,11,0,4.96,4.05,1393255,8526721
Nairobi,09/08/2018,Horticulture,Kales,Bag,50,0,peak,21,25,11,0,4.96,4.05,1393255,8526721
Nairobi,10/08/2018,Horticulture,Kales,Bag,50,0,peak,21,26,10,0,4.96,4.05,1393255,8526721
Nairobi,11/08/2018,Horticulture,Kales,Bag,50,0,peak,21,25,12,0,4.96,4.05,1393255,8526721
Nairobi,12/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,11,0,4.96,4.05,1393255,8526721
Nairobi,13/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,12,0,4.96,4.05,1393255,8526721
Nairobi,14/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,13,1,4.96,4.05,1393255,8526721
Nairobi,15/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,13,1,4.96,4.05,1393255,8526721
Nairobi,16/08/2018,Horticulture,Kales,Bag,50,0,peak,21,23,12,0,4.96,4.05,1393255,8526721
Nairobi,17/08/2018,Horticulture,Kales,Bag,50,0,peak,21,24,10,0,4.96,4.05,1393255,8526721
Nairobi,18/08/2018,Horticulture,Kales,Bag,50,0,peak,21,24,11,0,4.96,4.05,1393255,8526721
Nairobi,19/08/2018,Horticulture,Kales,Bag,50,0,peak,21,25,11,0,4.96,4.05,1393255,8526721
Nairobi,20/08/2018,Horticulture,Kales,Bag,50,0,peak,22,25,11,0,4.96,4.05,1393255,8526721
Nairobi,21/08/2018,Horticulture,Kales,Bag,50,0,peak,22,25,10,0,4.96,4.05,1393255,8526721
Nairobi,22/08/2018,Horticulture,Kales,Bag,50,0,peak,22,25,10,1,4.96,4.05,1393255,8526721
Nairobi,23/08/2018,Horticulture,Kales,Bag,50,0,peak,22,25,11,0,4.96,4.05,1393255,8526721
Nairobi,24/08/2018,Horticulture,Kales,Bag,50,0,peak,22,25,10,0,4.96,4.05,1393255,8526721
Nairobi,25/08/2018,Horticulture,Kales,Bag,50,0,peak,22,25,12,6,4.96,4.05,1393255,8526721
Nairobi,26/08/2018,Horticulture,Kales,Bag,50,0,peak,22,24,12,8,4.96,4.05,1393255,8526721
Nairobi,27/08/2018,Horticulture,Kales,Bag,50,0,peak,22,24,11,0,4.96,4.05,1393255,8526721
Nairobi,28/08/2018,Horticulture,Kales,Bag,50,0,peak,22,26,11,0,4.96,4.05,1393255,8526721
Nairobi,29/08/2018,Horticulture,Kales,Bag,50,0,peak,22,26,12,0,4.96,4.05,1393255,8526721
Nairobi,30/08/2018,Horticulture,Kales,Bag,50,0,peak,22,24,12,1,4.96,4.05,1393255,8526721
Nairobi,31/08/2018,Horticulture,Kales,Bag,50,0,peak,23,24,11,0,4.96,4.05,1393255,8526721
Nairobi,01/09/2018,Horticulture,Kales,Bag,50,0,normal,23,23,12,1,4.56,4.91,1397900,8555148
Nairobi,02/09/2018,Horticulture,Kales,Bag,50,0,normal,23,24,12,0,4.56,4.91,1397900,8555148
Nairobi,03/09/2018,Horticulture,Kales,Bag,50,0,normal,23,24,12,1,4.56,4.91,1397900,8555148
Nairobi,04/09/2018,Horticulture,Kales,Bag,50,0,normal,23,25,12,0,4.56,4.91,1397900,8555148
Nairobi,05/09/2018,Horticulture,Kales,Bag,50,0,normal,23,24,11,0,4.56,4.91,1397900,8555148
Nairobi,06/09/2018,Horticulture,Kales,Bag,50,0,normal,23,26,12,1,4.56,4.91,1397900,8555148
Nairobi,07/09/2018,Horticulture,Kales,Bag,50,0,normal,23,26,12,2,4.56,4.91,1397900,8555148
Nairobi,08/09/2018,Horticulture,Kales,Bag,50,0,normal,23,26,10,0,4.56,4.91,1397900,8555148
Nairobi,09/09/2018,Horticulture,Kales,Bag,50,0,normal,23,25,11,0,4.56,4.91,1397900,8555148
Nairobi,10/09/2018,Horticulture,Kales,Bag,50,0,normal,23,26,11,0,4.56,4.91,1397900,8555148
Nairobi,11/09/2018,Horticulture,Kales,Bag,50,0,normal,24,25,10,0,4.56,4.91,1397900,8555148
Nairobi,12/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,10,0,4.56,4.91,1397900,8555148
Nairobi,13/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,0,4.56,4.91,1397900,8555148
Nairobi,14/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,11,0,4.56,4.91,1397900,8555148
Nairobi,15/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,0,4.56,4.91,1397900,8555148
Nairobi,16/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,0,4.56,4.91,1397900,8555148
Nairobi,17/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,1,4.56,4.91,1397900,8555148
Nairobi,18/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,0,4.56,4.91,1397900,8555148
Nairobi,19/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,0,4.56,4.91,1397900,8555148
Nairobi,20/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,11,5,4.56,4.91,1397900,8555148
Nairobi,21/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,2,4.56,4.91,1397900,8555148
Nairobi,22/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,1,4.56,4.91,1397900,8555148
Nairobi,23/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,1,4.56,4.91,1397900,8555148
Nairobi,24/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,0,4.56,4.91,1397900,8555148
Nairobi,25/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,2,4.56,4.91,1397900,8555148
Nairobi,26/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,2,4.56,4.91,1397900,8555148
Nairobi,27/09/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,1,4.56,4.91,1397900,8555148
Nairobi,28/09/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,0,4.56,4.91,1397900,8555148
Nairobi,29/09/2018,Horticulture,Kales,Bag,50,0,normal,24,28,13,0,4.56,4.91,1397900,8555148
Nairobi,30/09/2018,Horticulture,Kales,Bag,50,0,normal,24,28,13,3,4.56,4.91,1397900,8555148
Nairobi,01/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,11,4,4.5,6.67,1402560,8583667
Nairobi,02/10/2018,Horticulture,Kales,Bag,50,0,normal,24,28,12,0,4.5,6.67,1407236,8583668
Nairobi,03/10/2018,Horticulture,Kales,Bag,50,0,normal,24,28,13,0,4.5,6.67,1411927,8583669
Nairobi,04/10/2018,Horticulture,Kales,Bag,50,0,normal,24,28,13,0,4.5,6.67,1416634,8583670
Nairobi,05/10/2018,Horticulture,Kales,Bag,50,0,normal,24,28,13,4,4.5,6.67,1421357,8583671
Nairobi,06/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,2,4.5,6.67,1426095,8583672
Nairobi,07/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,0,4.5,6.67,1430849,8583673
Nairobi,08/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,13,0,4.5,6.67,1435619,8583674
Nairobi,09/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,0,4.5,6.67,1440405,8583675
Nairobi,10/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,13,2,4.5,6.67,1445207,8583676
Nairobi,11/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,2,4.5,6.67,1450025,8583677
Nairobi,12/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,3,4.5,6.67,1454859,8583678
Nairobi,13/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,4,4.5,6.67,1459709,8583679
Nairobi,14/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,0,4.5,6.67,1464575,8583680
Nairobi,15/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,4,4.5,6.67,1469457,8583681
Nairobi,16/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,12,4,4.5,6.67,1474356,8583682
Nairobi,17/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,2,4.5,6.67,1479271,8583683
Nairobi,18/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,1,4.5,6.67,1484202,8583684
Nairobi,19/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,12,0,4.5,6.67,1489150,8583685
Nairobi,20/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,13,0,4.5,6.67,1494114,8583686
Nairobi,21/10/2018,Horticulture,Kales,Bag,50,0,normal,24,27,13,0,4.5,6.67,1499095,8583687
Nairobi,22/10/2018,Horticulture,Kales,Bag,50,0,normal,24,28,13,2,4.5,6.67,1504092,8583688
Nairobi,23/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,5,4.5,6.67,1509106,8583689
Nairobi,24/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,2,4.5,6.67,1514137,8583690
Nairobi,25/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,1,4.5,6.67,1519185,8583691
Nairobi,26/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,2,4.5,6.67,1524249,8583692
Nairobi,27/10/2018,Horticulture,Kales,Bag,50,0,normal,24,26,13,1,4.5,6.67,1529330,8583693
Nairobi,28/10/2018,Horticulture,Kales,Bag,50,0,normal,23,27,14,1,4.5,6.67,1534428,8583694
Nairobi,29/10/2018,Horticulture,Kales,Bag,50,0,normal,23,26,13,0,4.5,6.67,1539543,8583695
Nairobi,30/10/2018,Horticulture,Kales,Bag,50,0,normal,23,27,13,0,4.5,6.67,1544675,8583696
Nairobi,31/10/2018,Horticulture,Kales,Bag,50,0,normal,23,27,14,0,4.5,6.67,1549824,8583697
Mombasa,01/08/2018,Horticulture,Kales,Bag,50,0,peak,28,28,20,0,4.96,4.05,304290,1862255
Mombasa,02/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,0,4.96,4.05,304290,1862255
Mombasa,03/08/2018,Horticulture,Kales,Bag,50,0,peak,28,29,20,0,4.96,4.05,304290,1862255
Mombasa,04/08/2018,Horticulture,Kales,Bag,50,0,peak,28,30,20,0,4.96,4.05,304290,1862255
