RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Busia, Kitale, Loitktkktok, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20.0, 2500.0, 2250.0, 2600.0, 2000.0, 1800.0, 3150.0, 1530.0, 1900.0, 1700.0, 2159.0, 3150.0, 1530.0, 07-08-2018.xls, 2020-01-09 13:10:48
11, CEREAL, Green Maize, Ext Bag, 115.0, 19.0, 2550.0, 4600.0, 2000.0, 1500.0, 1600.0, 2700.0, 3000.0, 1400.0, 2000.0, 2372.0, 4600.0, 1400.0, 07-08-2018.xls, 2020-01-09 13:10:48
12, CEREAL, Finger Millet, Bag, 90.0, 41.0, 7200.0, 7200.0, 7600.0, 6300.0, 8100.0, 7200.0, 6300.0, 6300.0, 7900.0, 7122.0, 8100.0, 6300.0, 07-08-2018.xls, 2020-01-09 13:10:48
13, CEREAL, Sorghum, Bag, 90.0, 42.0, 3800.0, 2250.0, 3200.0, 3600.0, 5400.0, 5400.0, 1800.0, 3636.0, 3636.0, 3636.0, 5400.0, 1800.0, 07-08-2018.xls, 2020-01-09 13:10:48
14, CEREAL, Wheat, Bag, 90.0, 48.0, 4350.0, 4350.0, 4350.0, 4350.0, 3300.0, 5400.0, 4350.0, 4350.0, 4350.0, 4350.0, 5400.0, 3300.0, 07-08-2018.xls, 2020-01-09 13:10:48
15, LEGUMES, Beans Canadian, Bag, 90.0, 4.0, 7200.0, 6060.0, 7200.0, 5400.0, 6060.0, 6500.0, 6060.0, 4000.0, 6060.0, 6060.0, 7200.0, 4000.0, 07-08-2018.xls, 2020-01-09 13:10:48
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5.0, 6750.0, 4800.0, 6200.0, 5400.0, 7650.0, 6300.0, 6300.0, 4000.0, 5925.0, 5925.0, 7650.0, 4000.0, 07-08-2018.xls, 2020-01-09 13:10:48
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7.0, 6300.0, 3800.0, 4793.0, 3600.0, 7650.0, 5000.0, 4793.0, 4000.0, 3200.0, 4793.0, 7650.0, 3200.0, 07-08-2018.xls, 2020-01-09 13:10:48
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6.0, 6300.0, 5400.0, 5400.0, 3600.0, 5400.0, 6300.0, 5400.0, 5400.0, 5400.0, 5400.0, 6300.0, 3600.0, 07-08-2018.xls, 2020-01-09 13:10:48
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35.0, 8550.0, 6750.0, 8367.0, 5400.0, 11700.0, 7000.0, 8367.0, 10800.0, 8367.0, 8367.0, 8550.0, 10800.0, 07-08-2018.xls, 2020-01-09 13:10:48
20, LEGUMES, Green Gram, Bag, 90.0, 46.0, 7200.0, 5850.0, 7600.0, 5400.0, 9000.0, 7500.0, 6300.0, 10800.0, 4500.0, 7128.0, 9000.0, 10800.0, 07-08-2018.xls, 2020-01-09 13:10:48
21, LEGUMES, Cowpeas, Bag, 90.0, 45.0, 7000.0, 2250.0, 7600.0, 6300.0, 6750.0, 7200.0, 6300.0, 7000.0, 6300.0, 6300.0, 7600.0, 2250.0, 07-08-2018.xls, 2020-01-09 13:10:48
22, LEGUMES, Fresh Peas, Bag, 51.0, 27.0, 4000.0, 4000.0, 2500.0, 2500.0, 2040.0, 7500.0, 3434.0, 1500.0, 3434.0, 3434.0, 7500.0, 1500.0, 07-08-2018.xls, 2020-01-09 13:10:48
23, LEGUMES, Groundnuts, Bag, 110.0, 44.0, 10500.0, 11000.0, 9200.0, 10340.0, 10350.0, 9900.0, 13200.0, 14300.0, 11099.0, 11099.0, 9900.0, 10340.0, 07-08-2018.xls, 2020-01-09 13:10:48
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29.0, 2500.0, 2800.0, 1700.0, 2457.0, 2200.0, 2457.0, 2500.0, 2000.0, 3500.0, 2457.0, 3500.0, 1700.0, 07-08-2018.xls, 2020-01-09 13:10:48
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30.0, 2500.0, 2800.0, 1700.0, 3200.0, 2000.0, 4950.0, 2856.0, 2200.0, 3500.0, 2856.0, 4950.0, 1700.0, 07-08-2018.xls, 2020-01-09 13:10:48
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43.0, 2300.0, 2000.0, 3000.0, 2660.0, 2660.0, 3500.0, 2660.0, 2500.0, 2660.0, 2660.0, 3500.0, 2000.0, 07-08-2018.xls, 2020-01-09 13:10:48
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31.0, 3200.0, 2600.0, 3000.0, 3000.0, 3400.0, 3900.0, 3000.0, 2200.0, 3038.0, 3038.0, 3900.0, 2200.0, 07-08-2018.xls, 2020-01-09 13:10:48
