RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoret, Malindi, Kitale, Nyahururu, Kisii, Chwele, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3200.0, 3300.0, 3600.0, 3000.0, 3000.0, 3700.0, 2500.0, 2900.0, 3800.0, 2800.0, 3180.0, 3800.0, 2500.0, 09120111.xls, 2020-01-09 13:10:46
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3000.0, 4500.0, 2000.0, 2500.0, 2500.0, 3800.0, 1600.0, 2300.0, 2633.0, 1500.0, 2633.0, 4500.0, 1500.0, 09120111.xls, 2020-01-09 13:10:46
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 4800.0, 4500.0, 5320.0, 7200.0, 4050.0, 6500.0, 5200.0, 4400.0, 5162.0, 7200.0, 4050.0, 09120111.xls, 2020-01-09 13:10:46
11, CEREAL, Sorghum, Bag, 90.0, 42, 3700.0, 4050.0, 3600.0, 3600.0, 3600.0, 5400.0, 2700.0, 2600.0, 3694.0, 4000.0, 3694.0, 5400.0, 2600.0, 09120111.xls, 2020-01-09 13:10:46
12, CEREAL, Wheat, Bag, 90.0, 48, 3780.0, 3780.0, 3780.0, 3500.0, 3100.0, 5400.0, 4000.0, 2900.0, 3780.0, 3780.0, 3780.0, 5400.0, 2900.0, 09120111.xls, 2020-01-09 13:10:46
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5800.0, 5900.0, 7200.0, 5900.0, 5900.0, 7000.0, 4200.0, 6000.0, 5200.0, 5900.0, 5900.0, 7200.0, 4200.0, 09120111.xls, 2020-01-09 13:10:46
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5600.0, 4700.0, 6400.0, 4800.0, 5320.0, 7000.0, 4200.0, 4500.0, 5200.0, 4800.0, 5252.0, 7000.0, 4200.0, 09120111.xls, 2020-01-09 13:10:46
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5200.0, 6400.0, 5322.0, 4700.0, 6300.0, 6900.0, 4200.0, 5000.0, 5200.0, 4000.0, 5322.0, 6900.0, 4000.0, 09120111.xls, 2020-01-09 13:10:46
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5200.0, 5333.0, 5333.0, 3800.0, 5333.0, 7000.0, 5333.0, 5333.0, 5333.0, 5333.0, 5333.0, 7000.0, 3800.0, 09120111.xls, 2020-01-09 13:10:46
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 5200.0, 6300.0, 6914.0, 5400.0, 9000.0, 8100.0, 8100.0, 6300.0, 6914.0, 6914.0, 6914.0, 9000.0, 5200.0, 09120111.xls, 2020-01-09 13:10:46
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7000.0, 6300.0, 8000.0, 8000.0, 10800.0, 9400.0, 6300.0, 8400.0, 8022.0, 8000.0, 8022.0, 9400.0, 10800.0, 09120111.xls, 2020-01-09 13:10:46
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7200.0, 8550.0, 7200.0, 10000.0, 6000.0, 6300.0, 6660.0, 8000.0, 7546.0, 8000.0, 7546.0, 8550.0, 10000.0, 09120111.xls, 2020-01-09 13:10:46
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 2400.0, 3500.0, 1600.0, 2500.0, 1530.0, 2023.0, 1530.0, 2023.0, 2023.0, 1100.0, 2023.0, 3500.0, 1100.0, 09120111.xls, 2020-01-09 13:10:46
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 13500.0, 11550.0, 9600.0, 13000.0, 11000.0, 13000.0, 12100.0, 9200.0, 9600.0, 9000.0, 11155.0, 9600.0, 11000.0, 09120111.xls, 2020-01-09 13:10:46
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 3500.0, 2200.0, 4500.0, 3000.0, 2500.0, 3056.0, 2400.0, 3600.0, 3300.0, 2500.0, 3056.0, 4500.0, 2200.0, 09120111.xls, 2020-01-09 13:10:46
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 3800.0, 2400.0, 4500.0, 3000.0, 2300.0, 3300.0, 2400.0, 3056.0, 3300.0, 2500.0, 3056.0, 4500.0, 2300.0, 09120111.xls, 2020-01-09 13:10:46
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2400.0, 2000.0, 800.0, 1960.0, 1960.0, 3000.0, 1600.0, 1960.0, 1960.0, 1960.0, 1960.0, 800.0, 1600.0, 09120111.xls, 2020-01-09 13:10:46
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3400.0, 2600.0, 900.0, 2700.0, 1800.0, 2940.0, 1900.0, 2182.0, 1900.0, 1500.0, 2182.0, 900.0, 1500.0, 09120111.xls, 2020-01-09 13:10:46
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2200.0, 2300.0, 900.0, 1000.0, 900.0, 2600.0, 700.0, 630.0, 1000.0, 700.0, 1293.0, 900.0, 1000.0, 09120111.xls, 2020-01-09 13:10:46
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 650.0, 500.0, 300.0, 500.0, 700.0, 500.0, 300.0, 500.0, 400.0, 250.0, 460.0, 700.0, 250.0, 09120111.xls, 2020-01-09 13:10:46
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 660.0, 400.0, 300.0, 300.0, 480.0, 580.0, 560.0, 700.0, 481.0, 350.0, 481.0, 700.0, 300.0, 09120111.xls, 2020-01-09 13:10:46
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 2300.0, 3000.0, 3000.0, 1400.0, 800.0, 3000.0, 2070.0, 1500.0, 2000.0, 1200.0, 2027.0, 800.0, 1200.0, 09120111.xls, 2020-01-09 13:10:46
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 3600.0, 1800.0, 4000.0, 3000.0, 4200.0, 2000.0, 2500.0, 2800.0, 3500.0, 3000.0, 3040.0, 4200.0, 1800.0, 09120111.xls, 2020-01-09 13:10:46
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 700.0, 850.0, 700.0, 550.0, 520.0, 700.0, 390.0, 520.0, 550.0, 364.0, 584.0, 850.0, 364.0, 09120111.xls, 2020-01-09 13:10:46
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2100.0, 1400.0, 800.0, 600.0, 800.0, 1125.0, 1800.0, 1125.0, 900.0, 600.0, 1125.0, 900.0, 1400.0, 09120111.xls, 2020-01-09 13:10:46
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3200.0, 1520.0, 700.0, 3000.0, 2337.0, 4000.0, 2337.0, 2337.0, 2337.0, 1600.0, 2337.0, 700.0, 1520.0, 09120111.xls, 2020-01-09 13:10:46
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 2000.0, 1250.0, 1625.0, 1625.0, 1625.0, 2000.0, 1250.0, 1625.0, 1625.0, 1625.0, 1625.0, 2000.0, 1250.0, 09120111.xls, 2020-01-09 13:10:46
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3400.0, 1250.0, 900.0, 2500.0, 1000.0, 2000.0, 2000.0, 3000.0, 1872.0, 800.0, 1872.0, 900.0, 1000.0, 09120111.xls, 2020-01-09 13:10:46
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1400.0, 900.0, 750.0, 1500.0, 1113.0, 1250.0, 880.0, 1113.0, 1113.0, 1113.0, 1113.0, 900.0, 1250.0, 09120111.xls, 2020-01-09 13:10:46
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2800.0, 1560.0, 2180.0, 2180.0, 2180.0, 2180.0, 2180.0, 2180.0, 2180.0, 2180.0, 2180.0, 2800.0, 1560.0, 09120111.xls, 2020-01-09 13:10:46
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 3000.0, 1000.0, 2693.0, 2693.0, 2693.0, 4080.0, 2693.0, 2693.0, 2693.0, 2693.0, 2693.0, 4080.0, 1000.0, 09120111.xls, 2020-01-09 13:10:46
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3200.0, 4500.0, 3000.0, 3500.0, 1140.0, 2850.0, 4560.0, 3271.0, 3420.0, 3271.0, 3271.0, 4560.0, 1140.0, 09120111.xls, 2020-01-09 13:10:46
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2400.0, 2400.0, 2400.0, 2200.0, 2500.0, 3100.0, 2700.0, 2790.0, 3400.0, 3000.0, 2689.0, 3400.0, 2200.0, 09120111.xls, 2020-01-09 13:10:46
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1400.0, 900.0, 800.0, 1600.0, 1601.0, 1900.0, 1710.0, 1601.0, 2900.0, 1601.0, 1601.0, 900.0, 1400.0, 09120111.xls, 2020-01-09 13:10:46
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 1800.0, 650.0, 1800.0, 2200.0, 2000.0, 1800.0, 1900.0, 2000.0, 1769.0, 1769.0, 1769.0, 650.0, 1800.0, 09120111.xls, 2020-01-09 13:10:46
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 800.0, 530.0, 597.0, 500.0, 450.0, 800.0, 597.0, 597.0, 597.0, 500.0, 597.0, 800.0, 450.0, 09120111.xls, 2020-01-09 13:10:46
44, HORTICULTURE, Limes, net, 13.0, 18, 700.0, 600.0, 580.0, 500.0, 580.0, 520.0, 580.0, 580.0, 580.0, 580.0, 580.0, 700.0, 500.0, 09120111.xls, 2020-01-09 13:10:46
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 1080.0, 613.0, 480.0, 520.0, 550.0, 520.0, 650.0, 500.0, 613.0, 613.0, 650.0, 1080.0, 09120111.xls, 2020-01-09 13:10:46
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2200.0, 1000.0, 800.0, 2200.0, 1620.0, 1600.0, 1620.0, 1455.0, 600.0, 1455.0, 1455.0, 800.0, 1000.0, 09120111.xls, 2020-01-09 13:10:46
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 3000.0, 3000.0, 850.0, 2000.0, 2200.0, 6000.0, 2394.0, 900.0, 1200.0, 2394.0, 2394.0, 900.0, 1200.0, 09120111.xls, 2020-01-09 13:10:46
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1000.0, 1500.0, 1200.0, 500.0, 500.0, 1500.0, 600.0, 500.0, 550.0, 200.0, 805.0, 600.0, 1000.0, 09120111.xls, 2020-01-09 13:10:46
49, OTHERS, Eggs, Tray, 5, 47, 290.0, 260.0, 280.0, 250.0, 300.0, 280.0, 250.0, 300.0, 330.0, 280.0, 282.0, 330.0, 250.0, 09120111.xls, 2020-01-09 13:10:46
