RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kitale, Kisii, Busia, Kitui, Wajir, Kisii, Isiolo, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20, 2700.0, 2700.0, 3200.0, 2200.0, 2000.0, 2000.0, 2600.0, 2700.0, 2700.0, 2555.0, 2600.0, 2700.0, 2555.0, 3200.0, 2000.0, 11-06-2018.xls, 2020-01-09 13:10:47
11, CEREAL, Green Maize, Ext Bag, 115.0, 19, 2550.0, 5200.0, 2400.0, 2300.0, 1800.0, 3000.0, 2885.0, 3600.0, 2000.0, 3000.0, 2885.0, 3000.0, 2885.0, 5200.0, 1800.0, 11-06-2018.xls, 2020-01-09 13:10:47
12, CEREAL, Finger Millet, Bag, 90.0, 41, 7200.0, 8100.0, 9200.0, 6300.0, 7200.0, 6300.0, 7200.0, 7200.0, 8900.0, 7618.0, 7200.0, 9000.0, 7618.0, 9200.0, 6300.0, 11-06-2018.xls, 2020-01-09 13:10:47
13, CEREAL, Sorghum, Bag, 90.0, 42, 3800.0, 2700.0, 4200.0, 3150.0, 5400.0, 4206.0, 4206.0, 3600.0, 6300.0, 4206.0, 4206.0, 4500.0, 4206.0, 6300.0, 2700.0, 11-06-2018.xls, 2020-01-09 13:10:47
14, CEREAL, Wheat, Bag, 90.0, 48, 3900.0, 3900.0, 3900.0, 3900.0, 3300.0, 3900.0, 3900.0, 3900.0, 3900.0, 3900.0, 3900.0, 4500.0, 3900.0, 4500.0, 3300.0, 11-06-2018.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Canadian, Bag, 90.0, 4, 7200.0, 6920.0, 7600.0, 7000.0, 6920.0, 5600.0, 6920.0, 6920.0, 7200.0, 6920.0, 6920.0, 6920.0, 6920.0, 7600.0, 5600.0, 11-06-2018.xls, 2020-01-09 13:10:47
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 7200.0, 4500.0, 6800.0, 7200.0, 7200.0, 5600.0, 5200.0, 7200.0, 7200.0, 6327.0, 5200.0, 6300.0, 6327.0, 7200.0, 4500.0, 11-06-2018.xls, 2020-01-09 13:10:47
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6300.0, 5000.0, 5729.0, 6000.0, 7200.0, 4800.0, 5729.0, 5729.0, 6300.0, 5729.0, 5729.0, 4500.0, 5729.0, 7200.0, 4500.0, 11-06-2018.xls, 2020-01-09 13:10:47
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6000.0, 6500.0, 6500.0, 6300.0, 6500.0, 6500.0, 6500.0, 6500.0, 7200.0, 6500.0, 6500.0, 6500.0, 6500.0, 7200.0, 6000.0, 11-06-2018.xls, 2020-01-09 13:10:47
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35, 9500.0, 5400.0, 9200.0, 5850.0, 10350.0, 10800.0, 9200.0, 9200.0, 13500.0, 9200.0, 9200.0, 9000.0, 9200.0, 9500.0, 10350.0, 11-06-2018.xls, 2020-01-09 13:10:47
20, LEGUMES, Green Gram, Bag, 90.0, 46, 9000.0, 5220.0, 8000.0, 6300.0, 11700.0, 11700.0, 8658.0, 9000.0, 8900.0, 8658.0, 8658.0, 8100.0, 8658.0, 9000.0, 11700.0, 11-06-2018.xls, 2020-01-09 13:10:47
21, LEGUMES, Cowpeas, Bag, 90.0, 45, 7650.0, 4500.0, 9200.0, 8100.0, 6750.0, 7000.0, 7088.0, 7088.0, 6300.0, 7088.0, 7088.0, 7200.0, 7088.0, 9200.0, 4500.0, 11-06-2018.xls, 2020-01-09 13:10:47
22, LEGUMES, Fresh Peas, Bag, 51.0, 27, 5000.0, 4000.0, 2500.0, 6000.0, 3060.0, 2400.0, 4223.0, 3825.0, 7650.0, 4223.0, 4223.0, 3570.0, 4223.0, 7650.0, 2400.0, 11-06-2018.xls, 2020-01-09 13:10:47
23, LEGUMES, Groundnuts, Bag, 110.0, 44, 11500.0, 12100.0, 10000.0, 10800.0, 12150.0, 14300.0, 12000.0, 16500.0, 10800.0, 12495.0, 12000.0, 15300.0, 12495.0, 16500.0, 10000.0, 11-06-2018.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29, 1800.0, 2500.0, 1200.0, 2700.0, 2000.0, 1500.0, 3500.0, 3200.0, 3500.0, 3500.0, 3500.0, 3500.0, 2700.0, 3500.0, 1200.0, 11-06-2018.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30, 2000.0, 2500.0, 1200.0, 2500.0, 1800.0, 2800.0, 2644.0, 2644.0, 3500.0, 3500.0, 2644.0, 4000.0, 2644.0, 4000.0, 1200.0, 11-06-2018.xls, 2020-01-09 13:10:47
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2300.0, 2500.0, 3000.0, 2350.0, 2350.0, 2700.0, 2350.0, 2350.0, 1100.0, 2350.0, 2350.0, 2500.0, 2350.0, 3000.0, 1100.0, 11-06-2018.xls, 2020-01-09 13:10:47
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3200.0, 2600.0, 3000.0, 2500.0, 3400.0, 2000.0, 2500.0, 3000.0, 4600.0, 2991.0, 2500.0, 3600.0, 2991.0, 4600.0, 2000.0, 11-06-2018.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1500.0, 4600.0, 1500.0, 1000.0, 1600.0, 2000.0, 1400.0, 5640.0, 2400.0, 2000.0, 1400.0, 1600.0, 2220.0, 5640.0, 1000.0, 11-06-2018.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 520.0, 600.0, 350.0, 500.0, 1200.0, 900.0, 300.0, 800.0, 500.0, 615.0, 300.0, 800.0, 615.0, 900.0, 1200.0, 11-06-2018.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 600.0, 500.0, 350.0, 750.0, 700.0, 900.0, 700.0, 1000.0, 700.0, 700.0, 700.0, 800.0, 700.0, 900.0, 1000.0, 11-06-2018.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 4100.0, 8050.0, 3500.0, 3500.0, 3600.0, 7000.0, 5400.0, 6500.0, 3800.0, 4000.0, 5400.0, 3500.0, 4863.0, 8050.0, 3500.0, 11-06-2018.xls, 2020-01-09 13:10:47
