RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoret, Malindi, Kitale, Loitktk, Taveta, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3200.0, 3200.0, 3600.0, 3000.0, 2800.0, 3113.0, 2200.0, 3600.0, 3300.0, 3113.0, 3600.0, 2200.0, 111012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3500.0, 2900.0, 1800.0, 1600.0, 2500.0, 4000.0, 1600.0, 2000.0, 3500.0, 2600.0, 4000.0, 1600.0, 111012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 4800.0, 4500.0, 6300.0, 7200.0, 4500.0, 5181.0, 4500.0, 5181.0, 7200.0, 4500.0, 111012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3800.0, 4050.0, 3600.0, 3600.0, 3600.0, 5400.0, 2700.0, 3956.0, 4900.0, 3956.0, 5400.0, 2700.0, 111012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 4300.0, 4300.0, 4300.0, 3200.0, 2900.0, 5400.0, 4000.0, 4300.0, 6000.0, 4300.0, 6000.0, 2900.0, 111012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5400.0, 5800.0, 7200.0, 5800.0, 5800.0, 7200.0, 3800.0, 5800.0, 5400.0, 5800.0, 7200.0, 3800.0, 111012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5400.0, 5900.0, 6400.0, 5000.0, 5400.0, 7200.0, 3800.0, 5688.0, 6400.0, 5688.0, 7200.0, 3800.0, 111012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5200.0, 5200.0, 5275.0, 4800.0, 5400.0, 7000.0, 3800.0, 4500.0, 6300.0, 5275.0, 7000.0, 3800.0, 111012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5400.0, 5700.0, 5700.0, 4800.0, 5700.0, 7200.0, 5700.0, 5700.0, 5400.0, 5700.0, 7200.0, 4800.0, 111012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6400.0, 6300.0, 7113.0, 5400.0, 9000.0, 8200.0, 8100.0, 7200.0, 6300.0, 7113.0, 9000.0, 5400.0, 111012.xls, 2020-01-09 13:10:47
