RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Taveta, Kitale, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20.0, 3600.0, 3300.0, 4000.0, 3300.0, 2800.0, 3800.0, 3000.0, 3200.0, 3375.0, 4000.0, 2800.0, 1172012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19.0, 3700.0, 4600.0, 2000.0, 2500.0, 1350.0, 5000.0, 3500.0, 1600.0, 3031.0, 5000.0, 1350.0, 1172012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41.0, 5300.0, 6300.0, 7200.0, 5000.0, 5850.0, 7000.0, 4500.0, 5800.0, 5869.0, 7200.0, 4500.0, 1172012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42.0, 3900.0, 4050.0, 4000.0, 3000.0, 4500.0, 7000.0, 3600.0, 3600.0, 4206.0, 7000.0, 3000.0, 1172012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48.0, 4110.0, 4110.0, 4110.0, 3000.0, 3000.0, 6000.0, 4950.0, 3600.0, 4110.0, 6000.0, 3000.0, 1172012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4.0, 5300.0, 6038.0, 7500.0, 6038.0, 6038.0, 7000.0, 5890.0, 4500.0, 6038.0, 7500.0, 4500.0, 1172012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5.0, 5300.0, 5200.0, 7200.0, 6000.0, 8100.0, 7000.0, 5890.0, 4500.0, 6149.0, 8100.0, 4500.0, 1172012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7.0, 4900.0, 6200.0, 5629.0, 5200.0, 5400.0, 6900.0, 6300.0, 4500.0, 5629.0, 6900.0, 4500.0, 1172012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6.0, 5000.0, 5898.0, 5898.0, 5500.0, 5898.0, 7200.0, 5890.0, 5898.0, 5898.0, 7200.0, 5000.0, 1172012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 35.0, 6800.0, 7650.0, 7736.0, 7500.0, 10800.0, 7500.0, 6300.0, 7600.0, 7736.0, 7650.0, 10800.0, 1172012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46.0, 6800.0, 5850.0, 7200.0, 6300.0, 13500.0, 9800.0, 4950.0, 7500.0, 7738.0, 9800.0, 13500.0, 1172012.xls, 2020-01-09 13:10:47
