RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Loitktkktok, Isiolo, Kitale, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20, 2500.0, 2000.0, 2600.0, 2000.0, 1800.0, 1700.0, 2700.0, 1700.0, 2125.0, 2700.0, 1700.0, 14-08-2018.xls, 2020-01-09 13:10:48
11, CEREAL, Green Maize, Ext Bag, 115.0, 19, 2550.0, 4000.0, 2000.0, 1500.0, 1200.0, 2000.0, 3000.0, 1400.0, 2206.0, 4000.0, 1200.0, 14-08-2018.xls, 2020-01-09 13:10:48
12, CEREAL, Finger Millet, Bag, 90.0, 41, 7200.0, 7200.0, 7600.0, 6300.0, 8100.0, 7386.0, 9000.0, 6300.0, 7386.0, 9000.0, 6300.0, 14-08-2018.xls, 2020-01-09 13:10:48
13, CEREAL, Sorghum, Bag, 90.0, 42, 3800.0, 2250.0, 3200.0, 3600.0, 5400.0, 3642.0, 3600.0, 3642.0, 3642.0, 5400.0, 2250.0, 14-08-2018.xls, 2020-01-09 13:10:48
14, CEREAL, Wheat, Bag, 90.0, 48, 3900.0, 3900.0, 3900.0, 3900.0, 3300.0, 3900.0, 4500.0, 3900.0, 3900.0, 4500.0, 3300.0, 14-08-2018.xls, 2020-01-09 13:10:48
15, LEGUMES, Beans Canadian, Bag, 90.0, 4, 7200.0, 5950.0, 7200.0, 5400.0, 5950.0, 5950.0, 5950.0, 4000.0, 5950.0, 7200.0, 4000.0, 14-08-2018.xls, 2020-01-09 13:10:48
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6750.0, 4850.0, 6200.0, 5400.0, 7650.0, 5879.0, 6300.0, 4000.0, 5879.0, 7650.0, 4000.0, 14-08-2018.xls, 2020-01-09 13:10:48
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6300.0, 3800.0, 4850.0, 3600.0, 7650.0, 3200.0, 5400.0, 4000.0, 4850.0, 7650.0, 3200.0, 14-08-2018.xls, 2020-01-09 13:10:48
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6300.0, 4950.0, 4950.0, 3600.0, 4950.0, 4950.0, 4950.0, 4950.0, 4950.0, 6300.0, 3600.0, 14-08-2018.xls, 2020-01-09 13:10:48
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35, 8550.0, 6750.0, 8029.0, 5400.0, 11700.0, 4000.0, 9000.0, 10800.0, 8029.0, 9000.0, 10800.0, 14-08-2018.xls, 2020-01-09 13:10:48
20, LEGUMES, Green Gram, Bag, 90.0, 46, 7200.0, 5850.0, 7600.0, 5400.0, 9000.0, 4500.0, 7200.0, 10800.0, 7194.0, 9000.0, 10800.0, 14-08-2018.xls, 2020-01-09 13:10:48
21, LEGUMES, Cowpeas, Bag, 90.0, 45, 7200.0, 2250.0, 7600.0, 6300.0, 6750.0, 5943.0, 4500.0, 7000.0, 5943.0, 7600.0, 2250.0, 14-08-2018.xls, 2020-01-09 13:10:48
22, LEGUMES, Fresh Peas, Bag, 51.0, 27, 4080.0, 4500.0, 2500.0, 2800.0, 2550.0, 3533.0, 5100.0, 3200.0, 3533.0, 5100.0, 2500.0, 14-08-2018.xls, 2020-01-09 13:10:48
23, LEGUMES, Groundnuts, Bag, 110.0, 44, 11500.0, 11000.0, 9200.0, 10340.0, 10350.0, 11115.0, 11115.0, 14300.0, 11115.0, 9200.0, 10340.0, 14-08-2018.xls, 2020-01-09 13:10:48
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29, 3000.0, 3700.0, 2100.0, 3143.0, 2200.0, 4000.0, 4500.0, 2500.0, 3143.0, 4500.0, 2100.0, 14-08-2018.xls, 2020-01-09 13:10:48
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30, 3000.0, 3700.0, 2100.0, 4000.0, 2000.0, 4000.0, 5000.0, 2600.0, 3300.0, 5000.0, 2000.0, 14-08-2018.xls, 2020-01-09 13:10:48
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2550.0, 2000.0, 3000.0, 2510.0, 2510.0, 2510.0, 2500.0, 2500.0, 2510.0, 3000.0, 2000.0, 14-08-2018.xls, 2020-01-09 13:10:48
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3200.0, 2600.0, 3000.0, 3000.0, 3800.0, 3043.0, 3600.0, 2100.0, 3043.0, 3800.0, 2100.0, 14-08-2018.xls, 2020-01-09 13:10:48
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1650.0, 5040.0, 1500.0, 1000.0, 2300.0, 1600.0, 1200.0, 1800.0, 2011.0, 5040.0, 1000.0, 14-08-2018.xls, 2020-01-09 13:10:48
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 550.0, 650.0, 300.0, 350.0, 1200.0, 500.0, 900.0, 700.0, 644.0, 900.0, 1200.0, 14-08-2018.xls, 2020-01-09 13:10:48
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 600.0, 350.0, 300.0, 750.0, 700.0, 450.0, 850.0, 900.0, 613.0, 900.0, 300.0, 14-08-2018.xls, 2020-01-09 13:10:48
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3200.0, 4370.0, 3000.0, 3000.0, 1800.0, 3000.0, 2500.0, 5600.0, 3309.0, 5600.0, 1800.0, 14-08-2018.xls, 2020-01-09 13:10:48
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 5200.0, 4000.0, 5500.0, 4000.0, 3800.0, 1500.0, 3500.0, 5000.0, 4063.0, 5500.0, 1500.0, 14-08-2018.xls, 2020-01-09 13:10:48
33, HORTICULTURE, Onions Dry, net, 13.0, 22, 1040.0, 800.0, 1170.0, 750.0, 1120.0, 800.0, 1040.0, 600.0, 915.0, 800.0, 1040.0, 14-08-2018.xls, 2020-01-09 13:10:48
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2300.0, 3700.0, 2400.0, 2000.0, 1400.0, 2467.0, 2467.0, 3000.0, 2467.0, 3700.0, 1400.0, 14-08-2018.xls, 2020-01-09 13:10:48
35, HORTICULTURE, Chillies, Bag, 38.0, 11, 2280.0, 1900.0, 1500.0, 4000.0, 3047.0, 3047.0, 3800.0, 4800.0, 3047.0, 4800.0, 1500.0, 14-08-2018.xls, 2020-01-09 13:10:48
36, HORTICULTURE, Cucumber, Bag, 50.0, 14, 2250.0, 1500.0, 3313.0, 3313.0, 3313.0, 3313.0, 7500.0, 2000.0, 3313.0, 7500.0, 1500.0, 14-08-2018.xls, 2020-01-09 13:10:48
37, HORTICULTURE, Capsicums, Bag, 50.0, 12, 2750.0, 3000.0, 2500.0, 2800.0, 1500.0, 2500.0, 5000.0, 2500.0, 2819.0, 5000.0, 1500.0, 14-08-2018.xls, 2020-01-09 13:10:48
38, HORTICULTURE, Brinjals, Bag, 44.0, 8, 2420.0, 900.0, 1500.0, 2000.0, 1950.0, 1950.0, 3080.0, 1800.0, 1950.0, 900.0, 1500.0, 14-08-2018.xls, 2020-01-09 13:10:48
39, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2340.0, 1560.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 2340.0, 1560.0, 14-08-2018.xls, 2020-01-09 13:10:48
40, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2448.0, 2000.0, 2224.0, 2224.0, 2224.0, 2224.0, 2224.0, 2224.0, 2224.0, 2448.0, 2000.0, 14-08-2018.xls, 2020-01-09 13:10:48
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 5130.0, 5000.0, 3000.0, 5000.0, 5400.0, 4790.0, 4500.0, 5500.0, 4790.0, 5500.0, 3000.0, 14-08-2018.xls, 2020-01-09 13:10:48
42, HORTICULTURE, Oranges, Bag, 93.0, 24, 3800.0, 4200.0, 3500.0, 5000.0, 3400.0, 3000.0, 5500.0, 4000.0, 4050.0, 5500.0, 3000.0, 14-08-2018.xls, 2020-01-09 13:10:48
43, HORTICULTURE, Lemons, Bag, 95.0, 16, 2850.0, 3000.0, 1800.0, 2400.0, 2967.0, 2967.0, 3000.0, 4750.0, 2967.0, 4750.0, 1800.0, 14-08-2018.xls, 2020-01-09 13:10:48
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2700.0, 3500.0, 2400.0, 3000.0, 2000.0, 2700.0, 2700.0, 2600.0, 2700.0, 3500.0, 2000.0, 14-08-2018.xls, 2020-01-09 13:10:48
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 1400.0, 1220.0, 1700.0, 500.0, 500.0, 1220.0, 2000.0, 1220.0, 1220.0, 500.0, 1400.0, 14-08-2018.xls, 2020-01-09 13:10:48
46, HORTICULTURE, Limes, net, 13.0, 18, 1300.0, 900.0, 1100.0, 1100.0, 1100.0, 1100.0, 1100.0, 1100.0, 1100.0, 900.0, 1300.0, 14-08-2018.xls, 2020-01-09 13:10:48
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 1040.0, 900.0, 640.0, 600.0, 650.0, 804.0, 1200.0, 600.0, 804.0, 900.0, 1040.0, 14-08-2018.xls, 2020-01-09 13:10:48
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2700.0, 1800.0, 1100.0, 3000.0, 3150.0, 2693.0, 3800.0, 3300.0, 2693.0, 3800.0, 1100.0, 14-08-2018.xls, 2020-01-09 13:10:48
49, HORTICULTURE, Avocado, Bag, 90.0, 1, 2200.0, 3500.0, 1600.0, 1500.0, 2100.0, 2600.0, 4200.0, 900.0, 2325.0, 900.0, 1500.0, 14-08-2018.xls, 2020-01-09 13:10:48
50, HORTICULTURE, Kales, Bag, 50.0, 15, 1350.0, 1900.0, 2300.0, 1200.0, 1800.0, 800.0, 1250.0, 1500.0, 1513.0, 800.0, 1200.0, 14-08-2018.xls, 2020-01-09 13:10:48
51, OTHERS, Eggs, Tray, 5, 47, 300.0, 310.0, 280.0, 300.0, 300.0, 350.0, 340.0, 310.0, 311.0, 350.0, 280.0, 14-08-2018.xls, 2020-01-09 13:10:48
