RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Chwele, Imenti, Kitui, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3800.0, 3500.0, 4400.0, 3300.0, 3500.0, 3900.0, 3200.0, 3500.0, 3100.0, 2740.0, 3494.0, 4400.0, 2740.0, 1452012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 4500.0, 6900.0, 2500.0, 2500.0, 3000.0, 3433.0, 2000.0, 3500.0, 3500.0, 2500.0, 3433.0, 6900.0, 2000.0, 1452012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4800.0, 4860.0, 6000.0, 5000.0, 6300.0, 7000.0, 5500.0, 6000.0, 7000.0, 4500.0, 5696.0, 7000.0, 4500.0, 1452012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3200.0, 2700.0, 4000.0, 3000.0, 6750.0, 7000.0, 2700.0, 4000.0, 2400.0, 2700.0, 3845.0, 7000.0, 2400.0, 1452012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3540.0, 3540.0, 3540.0, 3000.0, 3200.0, 5400.0, 3600.0, 3540.0, 2500.0, 3540.0, 3540.0, 5400.0, 2500.0, 1452012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 6600.0, 5920.0, 7200.0, 5920.0, 5920.0, 6300.0, 5000.0, 5920.0, 4500.0, 5920.0, 5920.0, 7200.0, 4500.0, 1452012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6600.0, 6300.0, 8000.0, 6000.0, 9000.0, 6500.0, 5000.0, 6400.0, 4500.0, 6400.0, 6470.0, 9000.0, 4500.0, 1452012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6000.0, 6600.0, 5844.0, 5200.0, 7200.0, 6500.0, 5000.0, 5600.0, 4500.0, 6000.0, 5844.0, 7200.0, 4500.0, 1452012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6000.0, 6000.0, 6000.0, 5500.0, 6000.0, 7000.0, 6000.0, 6000.0, 4500.0, 7000.0, 6000.0, 7000.0, 4500.0, 1452012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 7800.0, 7200.0, 8000.0, 8100.0, 10800.0, 7500.0, 6300.0, 7750.0, 6300.0, 7750.0, 7750.0, 8100.0, 10800.0, 1452012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7500.0, 6480.0, 7200.0, 7200.0, 14400.0, 9500.0, 7200.0, 8000.0, 4500.0, 9000.0, 8098.0, 9500.0, 14400.0, 1452012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7000.0, 5850.0, 7200.0, 7000.0, 7200.0, 9000.0, 7000.0, 8000.0, 5400.0, 5300.0, 6895.0, 9000.0, 5300.0, 1452012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 4200.0, 5500.0, 4297.0, 5000.0, 3000.0, 4297.0, 4080.0, 4297.0, 4000.0, 4297.0, 4297.0, 5500.0, 3000.0, 1452012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 12650.0, 10000.0, 12000.0, 14300.0, 13600.0, 12650.0, 11000.0, 7000.0, 13800.0, 11900.0, 7000.0, 10000.0, 1452012.xls, 2020-01-09 13:10:47
