RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3600.0, 3300.0, 4400.0, 3500.0, 3000.0, 4000.0, 3000.0, 3543.0, 4400.0, 3000.0, 1462012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 4900.0, 5800.0, 2000.0, 2500.0, 1500.0, 5500.0, 2000.0, 3457.0, 5800.0, 1500.0, 1462012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 5200.0, 5850.0, 6000.0, 5000.0, 7200.0, 7000.0, 5500.0, 5964.0, 7200.0, 5000.0, 1462012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3500.0, 3150.0, 4000.0, 3000.0, 6300.0, 7000.0, 3600.0, 4364.0, 7000.0, 3000.0, 1462012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3900.0, 3900.0, 3900.0, 3000.0, 3000.0, 6000.0, 3600.0, 3900.0, 6000.0, 3000.0, 1462012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 6800.0, 6525.0, 8000.0, 6525.0, 6525.0, 6300.0, 5000.0, 6525.0, 8000.0, 5000.0, 1462012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 7000.0, 6800.0, 7200.0, 6000.0, 9000.0, 6500.0, 5000.0, 6786.0, 9000.0, 5000.0, 1462012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6200.0, 6900.0, 7200.0, 5200.0, 7200.0, 7200.0, 5000.0, 6414.0, 7200.0, 5000.0, 1462012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6000.0, 6233.0, 6233.0, 5500.0, 6233.0, 7200.0, 6233.0, 6233.0, 7200.0, 5500.0, 1462012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 7600.0, 8100.0, 10800.0, 7200.0, 10800.0, 7500.0, 7200.0, 8457.0, 8100.0, 10800.0, 1462012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 6800.0, 6300.0, 8000.0, 7000.0, 14400.0, 9800.0, 8100.0, 8629.0, 9800.0, 14400.0, 1462012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 6500.0, 5400.0, 7200.0, 7000.0, 7200.0, 9500.0, 7000.0, 7114.0, 9500.0, 5400.0, 1462012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3500.0, 5000.0, 4000.0, 5000.0, 3000.0, 4012.0, 3570.0, 4012.0, 5000.0, 3000.0, 1462012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 12100.0, 8000.0, 12000.0, 14300.0, 14500.0, 12100.0, 12143.0, 8000.0, 12000.0, 1462012.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 4000.0, 3100.0, 3260.0, 2800.0, 3500.0, 3260.0, 2900.0, 3260.0, 4000.0, 2800.0, 1462012.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 4800.0, 3300.0, 6000.0, 2800.0, 3200.0, 4400.0, 2900.0, 3914.0, 6000.0, 2800.0, 1462012.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2000.0, 2400.0, 1800.0, 2350.0, 2350.0, 3850.0, 1700.0, 2350.0, 3850.0, 1700.0, 1462012.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3800.0, 3200.0, 1800.0, 3000.0, 2200.0, 3920.0, 2500.0, 2917.0, 3920.0, 1800.0, 1462012.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2000.0, 3000.0, 3000.0, 1200.0, 1800.0, 3000.0, 1890.0, 2270.0, 3000.0, 1200.0, 1462012.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 680.0, 650.0, 450.0, 500.0, 1200.0, 500.0, 450.0, 633.0, 680.0, 1200.0, 1462012.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 380.0, 500.0, 450.0, 350.0, 1120.0, 600.0, 560.0, 566.0, 600.0, 1120.0, 1462012.xls, 2020-01-09 13:10:47
