RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 2700.0, 3000.0, 3600.0, 2800.0, 2700.0, 3600.0, 3067.0, 3600.0, 2700.0, 1742012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 4200.0, 6250.0, 2000.0, 2500.0, 2500.0, 4500.0, 3658.0, 6250.0, 2000.0, 1742012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 5500.0, 4500.0, 6300.0, 6300.0, 5375.0, 6300.0, 4500.0, 1742012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3300.0, 2700.0, 3600.0, 2700.0, 3600.0, 6300.0, 3700.0, 6300.0, 2700.0, 1742012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 4200.0, 4200.0, 4200.0, 4200.0, 3000.0, 5400.0, 4200.0, 5400.0, 3000.0, 1742012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 6000.0, 6500.0, 7200.0, 6500.0, 6500.0, 6300.0, 6500.0, 7200.0, 6000.0, 1742012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6000.0, 6200.0, 6800.0, 6000.0, 8000.0, 6500.0, 6583.0, 8000.0, 6000.0, 1742012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5800.0, 6100.0, 6280.0, 5800.0, 7200.0, 6500.0, 6280.0, 7200.0, 5800.0, 1742012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5800.0, 6200.0, 6200.0, 5800.0, 6200.0, 7000.0, 6200.0, 7000.0, 5800.0, 1742012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6700.0, 6480.0, 7376.0, 7200.0, 9000.0, 7500.0, 7376.0, 9000.0, 6480.0, 1742012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7500.0, 6300.0, 8000.0, 6500.0, 13500.0, 9000.0, 8467.0, 9000.0, 13500.0, 1742012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7000.0, 6750.0, 7500.0, 7000.0, 5320.0, 9000.0, 7095.0, 9000.0, 5320.0, 1742012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3600.0, 2750.0, 2800.0, 4500.0, 4080.0, 3546.0, 3546.0, 4500.0, 2750.0, 1742012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 12650.0, 10000.0, 11000.0, 14300.0, 13800.0, 12292.0, 14300.0, 10000.0, 1742012.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 4700.0, 3500.0, 5500.0, 5400.0, 3700.0, 4560.0, 4560.0, 5500.0, 3500.0, 1742012.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 4800.0, 3700.0, 5500.0, 5400.0, 3500.0, 5000.0, 4650.0, 5500.0, 3500.0, 1742012.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 1900.0, 1800.0, 2465.0, 2465.0, 3960.0, 2465.0, 3960.0, 1800.0, 1742012.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 4200.0, 3200.0, 2000.0, 4000.0, 2000.0, 3920.0, 3220.0, 4200.0, 2000.0, 1742012.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 3000.0, 3500.0, 2800.0, 2500.0, 2500.0, 4000.0, 3050.0, 4000.0, 2500.0, 1742012.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 590.0, 650.0, 300.0, 500.0, 1000.0, 520.0, 593.0, 650.0, 1000.0, 1742012.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 660.0, 575.0, 300.0, 250.0, 1120.0, 600.0, 584.0, 660.0, 1120.0, 1742012.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3400.0, 5000.0, 3500.0, 2000.0, 2700.0, 4140.0, 3457.0, 5000.0, 2000.0, 1742012.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 3500.0, 4050.0, 3500.0, 4000.0, 3000.0, 3620.0, 3612.0, 4050.0, 3000.0, 1742012.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 1300.0, 1300.0, 1300.0, 1200.0, 1300.0, 1450.0, 1308.0, 1450.0, 1200.0, 1742012.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 1900.0, 2000.0, 1200.0, 1200.0, 1000.0, 1460.0, 1460.0, 2000.0, 1000.0, 1742012.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3200.0, 2300.0, 1600.0, 3000.0, 2932.0, 4560.0, 2932.0, 4560.0, 1600.0, 1742012.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1900.0, 2000.0, 2100.0, 2100.0, 2100.0, 2400.0, 2100.0, 2400.0, 1900.0, 1742012.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3600.0, 3000.0, 1800.0, 2500.0, 4000.0, 4800.0, 3283.0, 4800.0, 1800.0, 1742012.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1600.0, 1800.0, 1600.0, 1500.0, 1652.0, 1760.0, 1652.0, 1800.0, 1500.0, 1742012.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2700.0, 2730.0, 2715.0, 2715.0, 2715.0, 2715.0, 2715.0, 2730.0, 2700.0, 1742012.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2800.0, 2500.0, 3767.0, 3767.0, 3767.0, 6000.0, 3767.0, 6000.0, 2500.0, 1742012.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3800.0, 4000.0, 3200.0, 3500.0, 3420.0, 4600.0, 3753.0, 4600.0, 3200.0, 1742012.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2600.0, 3200.0, 2500.0, 2800.0, 3000.0, 3450.0, 2925.0, 3450.0, 2500.0, 1742012.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1500.0, 1200.0, 700.0, 1600.0, 1400.0, 2000.0, 1400.0, 700.0, 1200.0, 1742012.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2600.0, 2360.0, 1880.0, 2360.0, 2600.0, 2360.0, 2360.0, 2600.0, 1880.0, 1742012.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 770.0, 750.0, 2300.0, 600.0, 650.0, 2200.0, 1212.0, 770.0, 2200.0, 1742012.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 600.0, 600.0, 575.0, 500.0, 575.0, 600.0, 575.0, 600.0, 500.0, 1742012.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 660.0, 650.0, 650.0, 480.0, 780.0, 680.0, 650.0, 780.0, 480.0, 1742012.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2000.0, 800.0, 1000.0, 2000.0, 2700.0, 2200.0, 1783.0, 800.0, 1000.0, 1742012.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2400.0, 3500.0, 1200.0, 2200.0, 1800.0, 6000.0, 2850.0, 6000.0, 1200.0, 1742012.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 2700.0, 2000.0, 2000.0, 1500.0, 1000.0, 2500.0, 1950.0, 2700.0, 1000.0, 1742012.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 280.0, 270.0, 290.0, 280.0, 350.0, 320.0, 298.0, 350.0, 270.0, 1742012.xls, 2020-01-09 13:10:47
