RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Kakamega, Taveta, Loitktk, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3200.0, 3300.0, 3600.0, 3000.0, 3000.0, 3700.0, 2600.0, 3000.0, 3200.0, 3400.0, 3200.0, 3700.0, 2600.0, 23110112.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3000.0, 4800.0, 2000.0, 2500.0, 2500.0, 4500.0, 1600.0, 2400.0, 3000.0, 2600.0, 2890.0, 4800.0, 1600.0, 23110112.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 4800.0, 4500.0, 5320.0, 7500.0, 4050.0, 5200.0, 4500.0, 5058.0, 5058.0, 7500.0, 4050.0, 23110112.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3700.0, 4050.0, 3600.0, 3600.0, 3600.0, 5400.0, 2700.0, 3200.0, 3000.0, 3650.0, 3650.0, 5400.0, 2700.0, 23110112.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 4190.0, 4190.0, 4190.0, 3500.0, 3100.0, 5400.0, 4000.0, 4190.0, 4950.0, 4190.0, 4190.0, 5400.0, 3100.0, 23110112.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5800.0, 5999.0, 7600.0, 5999.0, 6300.0, 7000.0, 4000.0, 5400.0, 5890.0, 5999.0, 5999.0, 7600.0, 4000.0, 23110112.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5600.0, 4800.0, 7200.0, 4800.0, 5320.0, 7200.0, 4000.0, 5400.0, 5890.0, 7200.0, 5741.0, 7200.0, 4000.0, 23110112.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5400.0, 6400.0, 5675.0, 4700.0, 6300.0, 6300.0, 4200.0, 5675.0, 6300.0, 5800.0, 5675.0, 6400.0, 4200.0, 23110112.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5200.0, 5580.0, 5580.0, 3800.0, 6300.0, 7200.0, 5580.0, 5580.0, 5400.0, 5580.0, 5580.0, 7200.0, 3800.0, 23110112.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 5200.0, 6300.0, 7078.0, 5800.0, 9000.0, 8200.0, 8100.0, 7600.0, 6300.0, 7200.0, 7078.0, 9000.0, 5200.0, 23110112.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7000.0, 7200.0, 8000.0, 8000.0, 9000.0, 9200.0, 6300.0, 7978.0, 8100.0, 9000.0, 7978.0, 9200.0, 6300.0, 23110112.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7200.0, 8550.0, 7200.0, 8000.0, 6000.0, 6300.0, 6660.0, 11200.0, 5400.0, 7390.0, 7390.0, 8550.0, 11200.0, 23110112.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 2400.0, 3500.0, 2000.0, 2000.0, 1530.0, 2245.0, 2040.0, 2245.0, 2245.0, 2245.0, 2245.0, 3500.0, 1530.0, 23110112.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 13500.0, 11550.0, 9600.0, 11000.0, 11000.0, 13400.0, 11550.0, 11575.0, 11000.0, 11575.0, 11575.0, 9600.0, 11000.0, 23110112.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 3500.0, 2000.0, 4500.0, 2800.0, 2300.0, 3000.0, 2400.0, 3000.0, 2500.0, 4000.0, 3000.0, 4500.0, 2000.0, 23110112.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 3600.0, 2200.0, 4500.0, 2800.0, 2100.0, 3850.0, 2500.0, 3194.0, 3194.0, 4000.0, 3194.0, 4500.0, 2100.0, 23110112.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 1900.0, 1500.0, 2033.0, 2033.0, 3000.0, 1600.0, 2033.0, 2000.0, 2033.0, 2033.0, 3000.0, 1500.0, 23110112.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3800.0, 2150.0, 2000.0, 2700.0, 3800.0, 3500.0, 1800.0, 2200.0, 2400.0, 2706.0, 2706.0, 3800.0, 1800.0, 23110112.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2500.0, 2300.0, 1000.0, 1200.0, 1000.0, 2700.0, 1260.0, 3800.0, 2500.0, 1800.0, 2006.0, 3800.0, 1000.0, 23110112.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 620.0, 600.0, 300.0, 500.0, 700.0, 500.0, 350.0, 700.0, 250.0, 450.0, 497.0, 700.0, 250.0, 23110112.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 670.0, 440.0, 300.0, 300.0, 480.0, 580.0, 560.0, 550.0, 487.0, 500.0, 487.0, 670.0, 300.0, 23110112.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 2400.0, 3300.0, 3500.0, 1300.0, 1000.0, 3450.0, 2760.0, 5500.0, 3000.0, 1500.0, 2771.0, 5500.0, 1000.0, 23110112.xls, 2020-01-09 13:10:47
