RowNo, VARIETY, Commodity, Unit, Kg, code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Isiolo, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20.0, 2800.0, 2500.0, 3600.0, 2500.0, 2500.0, 2850.0, 3150.0, 2843.0, 3600.0, 2500.0, 24-04-2018.xls, 2020-01-09 13:10:47
11, CEREAL, Green Maize, Ext Bag, 115.0, 19.0, 2500.0, 6600.0, 2600.0, 3000.0, 1800.0, 3000.0, 3000.0, 3214.0, 6600.0, 1800.0, 24-04-2018.xls, 2020-01-09 13:10:47
12, CEREAL, Finger Millet, Bag, 90.0, 41.0, 8100.0, 8100.0, 9600.0, 6300.0, 7200.0, 7500.0, 9000.0, 7971.0, 9600.0, 6300.0, 24-04-2018.xls, 2020-01-09 13:10:47
13, CEREAL, Sorghum, Bag, 90.0, 42.0, 4200.0, 2700.0, 4200.0, 3100.0, 6300.0, 5400.0, 4500.0, 4343.0, 6300.0, 2700.0, 24-04-2018.xls, 2020-01-09 13:10:47
14, CEREAL, Wheat, Bag, 90.0, 48.0, 4100.0, 4100.0, 4100.0, 4100.0, 3300.0, 4500.0, 4500.0, 4100.0, 4500.0, 3300.0, 24-04-2018.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Canadian, Bag, 90.0, 4.0, 7200.0, 7488.0, 8800.0, 7200.0, 7488.0, 6750.0, 7488.0, 7488.0, 8800.0, 6750.0, 24-04-2018.xls, 2020-01-09 13:10:47
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5.0, 7200.0, 5700.0, 8800.0, 7200.0, 8100.0, 6750.0, 9000.0, 7536.0, 9000.0, 5700.0, 24-04-2018.xls, 2020-01-09 13:10:47
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7.0, 6750.0, 5600.0, 6725.0, 5500.0, 8100.0, 6300.0, 8100.0, 6725.0, 8100.0, 5500.0, 24-04-2018.xls, 2020-01-09 13:10:47
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6.0, 6300.0, 6183.0, 6183.0, 5500.0, 6183.0, 6750.0, 6183.0, 6183.0, 6750.0, 5500.0, 24-04-2018.xls, 2020-01-09 13:10:47
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35.0, 9900.0, 6300.0, 8508.0, 5400.0, 11250.0, 9200.0, 9000.0, 8508.0, 9900.0, 11250.0, 24-04-2018.xls, 2020-01-09 13:10:47
20, LEGUMES, Green Gram, Bag, 90.0, 46.0, 10000.0, 5400.0, 9200.0, 6700.0, 12600.0, 9500.0, 9000.0, 8914.0, 9500.0, 10000.0, 24-04-2018.xls, 2020-01-09 13:10:47
21, LEGUMES, Cowpeas, Bag, 90.0, 45.0, 8100.0, 6300.0, 7583.0, 8100.0, 6750.0, 7250.0, 9000.0, 7583.0, 9000.0, 6300.0, 24-04-2018.xls, 2020-01-09 13:10:47
22, LEGUMES, Fresh Peas, Bag, 51.0, 27.0, 4080.0, 6500.0, 5428.0, 6000.0, 3060.0, 7500.0, 5428.0, 5428.0, 7500.0, 3060.0, 24-04-2018.xls, 2020-01-09 13:10:47
23, LEGUMES, Groundnuts, Bag, 110.0, 44.0, 11800.0, 11550.0, 10000.0, 12000.0, 12150.0, 10000.0, 11250.0, 11250.0, 12150.0, 10000.0, 24-04-2018.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29.0, 2250.0, 2500.0, 2300.0, 2750.0, 2500.0, 2750.0, 4200.0, 2750.0, 4200.0, 2250.0, 24-04-2018.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30.0, 2200.0, 2500.0, 2300.0, 3200.0, 2300.0, 4800.0, 4700.0, 3143.0, 4800.0, 2200.0, 24-04-2018.xls, 2020-01-09 13:10:47
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43.0, 3000.0, 2400.0, 3000.0, 2850.0, 2850.0, 3000.0, 2850.0, 2850.0, 3000.0, 2400.0, 24-04-2018.xls, 2020-01-09 13:10:47
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31.0, 3300.0, 2900.0, 3000.0, 3500.0, 2500.0, 3400.0, 3600.0, 3171.0, 3600.0, 2500.0, 24-04-2018.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9.0, 1800.0, 2700.0, 1200.0, 1000.0, 1600.0, 3000.0, 2000.0, 1900.0, 3000.0, 1000.0, 24-04-2018.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2.0, 550.0, 500.0, 350.0, 350.0, 1000.0, 450.0, 800.0, 571.0, 800.0, 1000.0, 24-04-2018.xls, 2020-01-09 13:10:47
