RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kakamega, Busia, Kisii, Isiolo, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20, 2800.0, 2500.0, 3200.0, 2500.0, 2400.0, 2800.0, 3600.0, 2600.0, 3150.0, 2839.0, 3600.0, 2400.0, 26-04-2018.xls, 2020-01-09 13:10:47
11, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3000.0, 6800.0, 2400.0, 3000.0, 1800.0, 2800.0, 3257.0, 3257.0, 3000.0, 3257.0, 6800.0, 1800.0, 26-04-2018.xls, 2020-01-09 13:10:47
12, CEREAL, Finger Millet, Bag, 90.0, 41, 8100.0, 8100.0, 9600.0, 6300.0, 7200.0, 6000.0, 7650.0, 7200.0, 9000.0, 7683.0, 9600.0, 6000.0, 26-04-2018.xls, 2020-01-09 13:10:47
13, CEREAL, Sorghum, Bag, 90.0, 42, 4200.0, 2700.0, 4200.0, 3100.0, 6300.0, 4000.0, 3150.0, 4019.0, 4500.0, 4019.0, 6300.0, 2700.0, 26-04-2018.xls, 2020-01-09 13:10:47
14, CEREAL, Wheat, Bag, 90.0, 48, 3900.0, 3900.0, 3900.0, 3900.0, 3300.0, 3900.0, 3900.0, 3900.0, 4500.0, 3900.0, 4500.0, 3300.0, 26-04-2018.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Canadian, Bag, 90.0, 4, 7200.0, 7300.0, 8800.0, 7200.0, 7300.0, 6000.0, 7300.0, 7300.0, 7300.0, 7300.0, 8800.0, 6000.0, 26-04-2018.xls, 2020-01-09 13:10:47
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 7200.0, 5700.0, 8800.0, 7200.0, 8100.0, 6000.0, 5400.0, 6400.0, 7200.0, 6889.0, 8800.0, 5400.0, 26-04-2018.xls, 2020-01-09 13:10:47
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6750.0, 5600.0, 6375.0, 5500.0, 8100.0, 6000.0, 6375.0, 6375.0, 6300.0, 6375.0, 8100.0, 5500.0, 26-04-2018.xls, 2020-01-09 13:10:47
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6300.0, 5933.0, 5933.0, 5500.0, 5933.0, 6000.0, 5933.0, 5933.0, 5933.0, 5933.0, 6300.0, 5500.0, 26-04-2018.xls, 2020-01-09 13:10:47
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35, 9450.0, 6300.0, 8100.0, 5400.0, 11250.0, 8100.0, 8100.0, 8100.0, 8100.0, 8100.0, 9450.0, 11250.0, 26-04-2018.xls, 2020-01-09 13:10:47
20, LEGUMES, Green Gram, Bag, 90.0, 46, 10000.0, 5850.0, 9200.0, 6700.0, 12600.0, 8000.0, 10350.0, 8963.0, 9000.0, 8963.0, 9200.0, 10000.0, 26-04-2018.xls, 2020-01-09 13:10:47
21, LEGUMES, Cowpeas, Bag, 90.0, 45, 8100.0, 6300.0, 7893.0, 8100.0, 6750.0, 8000.0, 9000.0, 7893.0, 9000.0, 7893.0, 9000.0, 6300.0, 26-04-2018.xls, 2020-01-09 13:10:47
