RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Imenti, Machakos, Kitui, Busia, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 2700.0, 2700.0, 3200.0, 2800.0, 2500.0, 3600.0, 2250.0, 2900.0, 2700.0, 2880.0, 2823.0, 3600.0, 2250.0, 2632012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3200.0, 5750.0, 2100.0, 2000.0, 1950.0, 5000.0, 3000.0, 2600.0, 2000.0, 3067.0, 3067.0, 5750.0, 1950.0, 2632012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4860.0, 4800.0, 4500.0, 6300.0, 6300.0, 7000.0, 5307.0, 4500.0, 4800.0, 5307.0, 7000.0, 4500.0, 2632012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3500.0, 2700.0, 3200.0, 2700.0, 3600.0, 6300.0, 2400.0, 3331.0, 2700.0, 2880.0, 3331.0, 6300.0, 2400.0, 2632012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3300.0, 3300.0, 3300.0, 2700.0, 2600.0, 5400.0, 2500.0, 3300.0, 3300.0, 3300.0, 3300.0, 5400.0, 2500.0, 2632012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 6800.0, 6417.0, 7200.0, 6417.0, 6417.0, 7000.0, 4500.0, 5800.0, 7200.0, 6417.0, 6417.0, 7200.0, 4500.0, 2632012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6800.0, 6100.0, 6800.0, 6000.0, 5400.0, 6500.0, 4500.0, 5500.0, 6000.0, 6300.0, 5990.0, 6800.0, 4500.0, 2632012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6500.0, 6000.0, 5719.0, 5800.0, 5400.0, 6750.0, 4500.0, 5600.0, 5200.0, 5719.0, 5719.0, 6750.0, 4500.0, 2632012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6400.0, 5900.0, 5900.0, 5800.0, 5900.0, 7200.0, 4500.0, 5500.0, 6000.0, 5900.0, 5900.0, 7200.0, 4500.0, 2632012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6900.0, 6480.0, 7397.0, 7200.0, 9000.0, 8100.0, 6300.0, 7397.0, 7800.0, 7397.0, 7397.0, 9000.0, 6300.0, 2632012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 6800.0, 6300.0, 8000.0, 6700.0, 13500.0, 9000.0, 4500.0, 9000.0, 7889.0, 7200.0, 7889.0, 9000.0, 13500.0, 2632012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 6800.0, 4950.0, 7200.0, 7000.0, 5320.0, 8100.0, 5400.0, 4700.0, 6184.0, 6184.0, 6184.0, 8100.0, 4700.0, 2632012.xls, 2020-01-09 13:10:47
