RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoret, Malindi, Garissa, Karatina, Kakamega, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3600.0, 3300.0, 4000.0, 3300.0, 3000.0, 3800.0, 4200.0, 3600.0, 3600.0, 3600.0, 4200.0, 3000.0, 267012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3700.0, 4900.0, 1600.0, 2000.0, 1350.0, 2800.0, 4000.0, 2500.0, 2400.0, 2806.0, 4900.0, 1350.0, 267012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 5500.0, 6300.0, 7800.0, 6300.0, 5850.0, 7000.0, 6400.0, 6000.0, 6000.0, 6350.0, 7800.0, 5500.0, 267012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3000.0, 4050.0, 3600.0, 3000.0, 2250.0, 7000.0, 6400.0, 4000.0, 4000.0, 4144.0, 7000.0, 2250.0, 267012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 4075.0, 4075.0, 4075.0, 3000.0, 3300.0, 6000.0, 4075.0, 4000.0, 4075.0, 4075.0, 6000.0, 3000.0, 267012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5300.0, 6233.0, 6800.0, 6233.0, 6233.0, 7000.0, 6800.0, 5500.0, 6000.0, 6233.0, 7000.0, 5300.0, 267012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5200.0, 5200.0, 6500.0, 6000.0, 6750.0, 7000.0, 6000.0, 5500.0, 6000.0, 6017.0, 7000.0, 5200.0, 267012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5000.0, 5800.0, 5643.0, 5200.0, 5400.0, 6900.0, 5643.0, 5200.0, 6000.0, 5643.0, 6900.0, 5000.0, 267012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5000.0, 6060.0, 6060.0, 5500.0, 6060.0, 7000.0, 6800.0, 6060.0, 6000.0, 6060.0, 7000.0, 5000.0, 267012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 7000.0, 7650.0, 7679.0, 7500.0, 8100.0, 7500.0, 9000.0, 7000.0, 7679.0, 7679.0, 9000.0, 7000.0, 267012.xls, 2020-01-09 13:10:47
