RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoret, Malindi, Nyahururu, Kitale, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3200.0, 3200.0, 3600.0, 3000.0, 2800.0, 3700.0, 2700.0, 2300.0, 3063.0, 3700.0, 2300.0, 2712011.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3500.0, 3000.0, 1600.0, 2500.0, 2500.0, 4000.0, 2850.0, 2850.0, 2850.0, 4000.0, 1600.0, 2712011.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 4800.0, 4500.0, 6300.0, 7200.0, 6500.0, 4050.0, 5375.0, 7200.0, 4050.0, 2712011.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3800.0, 4050.0, 3600.0, 3600.0, 4050.0, 5400.0, 2600.0, 2700.0, 3725.0, 5400.0, 2600.0, 2712011.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3725.0, 3725.0, 3725.0, 3500.0, 3100.0, 5400.0, 2900.0, 3725.0, 3725.0, 5400.0, 2900.0, 2712011.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5400.0, 5920.0, 7200.0, 5920.0, 5920.0, 7000.0, 6000.0, 4000.0, 5920.0, 7200.0, 4000.0, 2712011.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5400.0, 5000.0, 6400.0, 5000.0, 5400.0, 7000.0, 4600.0, 4000.0, 5350.0, 7000.0, 4000.0, 2712011.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5200.0, 6500.0, 5543.0, 4800.0, 5400.0, 6900.0, 6000.0, 4000.0, 5543.0, 6900.0, 4000.0, 2712011.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5400.0, 5733.0, 5733.0, 4800.0, 5733.0, 7000.0, 5733.0, 5733.0, 5733.0, 7000.0, 4800.0, 2712011.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6200.0, 6300.0, 6733.0, 5400.0, 6733.0, 8100.0, 6300.0, 8100.0, 6733.0, 8100.0, 5400.0, 2712011.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7600.0, 8000.0, 800.0, 8000.0, 12600.0, 9400.0, 8600.0, 6300.0, 7663.0, 9400.0, 12600.0, 2712011.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7600.0, 6300.0, 7200.0, 10000.0, 5320.0, 6300.0, 9000.0, 6660.0, 7298.0, 9000.0, 10000.0, 2712011.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3000.0, 4050.0, 2500.0, 2800.0, 2040.0, 2966.0, 4080.0, 2295.0, 2966.0, 4080.0, 2040.0, 2712011.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 11000.0, 11550.0, 9600.0, 13000.0, 11000.0, 13000.0, 9600.0, 12650.0, 11425.0, 9600.0, 11000.0, 2712011.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 3800.0, 4000.0, 4300.0, 3500.0, 2000.0, 3200.0, 3000.0, 1800.0, 3200.0, 4300.0, 1800.0, 2712011.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 3800.0, 4800.0, 4300.0, 3500.0, 1800.0, 3850.0, 3407.0, 1800.0, 3407.0, 4800.0, 1800.0, 2712011.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 1700.0, 1000.0, 1975.0, 1975.0, 3000.0, 1975.0, 1975.0, 1975.0, 3000.0, 1000.0, 2712011.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3600.0, 2500.0, 1200.0, 2500.0, 2200.0, 4000.0, 4900.0, 1800.0, 2838.0, 4900.0, 1200.0, 2712011.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2400.0, 5000.0, 1000.0, 800.0, 900.0, 2800.0, 2500.0, 630.0, 2004.0, 900.0, 1000.0, 2712011.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 600.0, 600.0, 300.0, 500.0, 700.0, 500.0, 600.0, 270.0, 509.0, 700.0, 270.0, 2712011.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 640.0, 450.0, 300.0, 300.0, 520.0, 580.0, 700.0, 560.0, 506.0, 700.0, 300.0, 2712011.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3400.0, 3000.0, 2500.0, 1500.0, 1000.0, 4000.0, 1500.0, 2760.0, 2458.0, 4000.0, 1000.0, 2712011.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 4000.0, 2700.0, 4000.0, 4000.0, 4500.0, 3240.0, 2800.0, 2800.0, 3505.0, 4500.0, 2700.0, 2712011.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 700.0, 850.0, 700.0, 550.0, 780.0, 850.0, 585.0, 455.0, 684.0, 850.0, 455.0, 2712011.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2200.0, 1500.0, 900.0, 600.0, 1400.0, 1400.0, 1400.0, 1800.0, 1400.0, 900.0, 1500.0, 2712011.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3200.0, 1420.0, 850.0, 3000.0, 2712.0, 4000.0, 3800.0, 2712.0, 2712.0, 850.0, 1420.0, 2712011.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1800.0, 1500.0, 1767.0, 1767.0, 1767.0, 2000.0, 1767.0, 1767.0, 1767.0, 2000.0, 1500.0, 2712011.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3300.0, 2500.0, 1000.0, 2500.0, 2400.0, 2500.0, 3000.0, 2000.0, 2400.0, 3300.0, 1000.0, 2712011.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1600.0, 560.0, 900.0, 2000.0, 1302.0, 1450.0, 1302.0, 1302.0, 1302.0, 900.0, 1450.0, 2712011.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2800.0, 1640.0, 2220.0, 2220.0, 2220.0, 2220.0, 2220.0, 2220.0, 2220.0, 2800.0, 1640.0, 2712011.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2700.0, 1270.0, 2657.0, 2657.0, 2657.0, 4000.0, 2657.0, 2657.0, 2657.0, 4000.0, 1270.0, 2712011.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3700.0, 6000.0, 3100.0, 3500.0, 1995.0, 2850.0, 3524.0, 3524.0, 3524.0, 6000.0, 1995.0, 2712011.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2400.0, 2400.0, 2500.0, 2200.0, 4000.0, 3200.0, 2790.0, 2000.0, 2686.0, 4000.0, 2000.0, 2712011.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1400.0, 900.0, 700.0, 1600.0, 1607.0, 1900.0, 2375.0, 2375.0, 1607.0, 900.0, 1400.0, 2712011.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 1800.0, 800.0, 1800.0, 2200.0, 2800.0, 1800.0, 2000.0, 1800.0, 1875.0, 800.0, 1800.0, 2712011.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 750.0, 500.0, 600.0, 500.0, 450.0, 800.0, 600.0, 600.0, 600.0, 800.0, 450.0, 2712011.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 600.0, 500.0, 530.0, 500.0, 530.0, 520.0, 530.0, 530.0, 530.0, 600.0, 500.0, 2712011.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 1000.0, 1400.0, 480.0, 520.0, 520.0, 720.0, 520.0, 720.0, 600.0, 1000.0, 2712011.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2000.0, 1000.0, 800.0, 2200.0, 2160.0, 1800.0, 1654.0, 1620.0, 1654.0, 800.0, 1000.0, 2712011.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2800.0, 3000.0, 850.0, 2000.0, 2500.0, 6000.0, 2707.0, 1800.0, 2707.0, 850.0, 1800.0, 2712011.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1200.0, 1300.0, 1300.0, 700.0, 500.0, 1500.0, 600.0, 500.0, 950.0, 700.0, 1200.0, 2712011.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 290.0, 290.0, 290.0, 250.0, 300.0, 290.0, 290.0, 250.0, 281.0, 300.0, 250.0, 2712011.xls, 2020-01-09 13:10:47
