RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Busia, Chwele, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3600.0, 3300.0, 4000.0, 3300.0, 2800.0, 3800.0, 3200.0, 2880.0, 3200.0, 3342.0, 4000.0, 2800.0, 672012-1.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3700.0, 4500.0, 2000.0, 2500.0, 1350.0, 5300.0, 2000.0, 2500.0, 1800.0, 2850.0, 5300.0, 1350.0, 672012-1.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 5300.0, 6300.0, 8000.0, 5000.0, 6300.0, 7000.0, 5800.0, 5580.0, 6000.0, 6142.0, 8000.0, 5000.0, 672012-1.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3900.0, 4050.0, 4000.0, 3000.0, 4500.0, 7000.0, 3600.0, 3240.0, 4000.0, 4143.0, 7000.0, 3000.0, 672012-1.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3120.0, 3120.0, 3120.0, 3000.0, 3000.0, 6000.0, 3600.0, 3120.0, 0.0, 3120.0, 6000.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5300.0, 4980.0, 8000.0, 4980.0, 4980.0, 7000.0, 4600.0, 4980.0, 0.0, 4980.0, 8000.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5300.0, 5500.0, 5631.0, 6000.0, 8100.0, 7000.0, 4600.0, 4950.0, 3600.0, 5631.0, 8100.0, 3600.0, 672012-1.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 4900.0, 6500.0, 7200.0, 5200.0, 5400.0, 7200.0, 4600.0, 5475.0, 2800.0, 5475.0, 7200.0, 2800.0, 672012-1.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5000.0, 4425.0, 4425.0, 5500.0, 4425.0, 7200.0, 4425.0, 4425.0, 0.0, 4425.0, 7200.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6800.0, 7650.0, 6836.0, 7500.0, 10800.0, 7500.0, 7600.0, 6836.0, 0.0, 6836.0, 7650.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 6800.0, 5850.0, 7200.0, 6300.0, 13500.0, 9800.0, 7500.0, 5400.0, 8000.0, 7817.0, 9800.0, 13500.0, 672012-1.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 6000.0, 5000.0, 7500.0, 7000.0, 5400.0, 9500.0, 7000.0, 5400.0, 8000.0, 6756.0, 9500.0, 5000.0, 672012-1.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3600.0, 2750.0, 3000.0, 3500.0, 1530.0, 2487.0, 1530.0, 2487.0, 1500.0, 2487.0, 3600.0, 1500.0, 672012-1.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 12100.0, 9200.0, 12000.0, 11250.0, 14500.0, 13200.0, 14300.0, 11000.0, 12172.0, 9200.0, 11000.0, 672012-1.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 2800.0, 2400.0, 4500.0, 2400.0, 2000.0, 2613.0, 2000.0, 3000.0, 1800.0, 2613.0, 4500.0, 1800.0, 672012-1.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 2900.0, 2700.0, 4500.0, 2400.0, 1800.0, 3800.0, 1700.0, 2475.0, 0.0, 2475.0, 4500.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 2200.0, 1500.0, 1917.0, 1917.0, 3800.0, 1800.0, 1917.0, 0.0, 1917.0, 3800.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3700.0, 3000.0, 1600.0, 3000.0, 1800.0, 3920.0, 2300.0, 2200.0, 0.0, 2391.0, 3920.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1700.0, 3500.0, 1500.0, 1200.0, 1500.0, 3200.0, 1260.0, 3000.0, 400.0, 1918.0, 400.0, 1200.0, 672012-1.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 530.0, 650.0, 350.0, 500.0, 800.0, 500.0, 400.0, 800.0, 0.0, 503.0, 800.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 640.0, 440.0, 350.0, 350.0, 560.0, 600.0, 560.0, 1200.0, 560.0, 584.0, 640.0, 1200.0, 672012-1.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 4200.0, 6500.0, 5000.0, 4000.0, 3500.0, 9000.0, 5520.0, 4865.0, 1200.0, 4865.0, 9000.0, 1200.0, 672012-1.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 3200.0, 2700.0, 4500.0, 2500.0, 3400.0, 3200.0, 3000.0, 3000.0, 2000.0, 3056.0, 4500.0, 2000.0, 672012-1.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 1100.0, 900.0, 1400.0, 1000.0, 1560.0, 1200.0, 780.0, 1040.0, 585.0, 1063.0, 900.0, 1000.0, 672012-1.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2000.0, 1500.0, 1500.0, 600.0, 1420.0, 1217.0, 1500.0, 1217.0, 0.0, 1217.0, 600.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3200.0, 1900.0, 1200.0, 4000.0, 2286.0, 3800.0, 1900.0, 2286.0, 0.0, 2286.0, 4000.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1800.0, 1250.0, 1610.0, 1610.0, 1610.0, 3500.0, 1500.0, 1610.0, 0.0, 1610.0, 3500.0, 0.0, 672012-1.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3700.0, 2750.0, 1500.0, 3500.0, 800.0, 5500.0, 1500.0, 2000.0, 800.0, 2450.0, 800.0, 1500.0, 672012-1.xls, 2020-01-09 13:10:47
