RowNo, VARIETY, Commodity, Unit, Kg, code, Nairobi, Mombasa, Kisumu, Nakuru, kisii, Eldoretoret, Busia, Kitale, Wajir, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20.0, 1800.0, 1800.0, 2600.0, 1000.0, 2000.0, 1600.0, 1800.0, 1500.0, 1450.0, 1728.0, 2600.0, 1000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
11, CEREAL, Green Maize, Ext Bag, 115.0, 19.0, 2400.0, 4000.0, 2200.0, 1400.0, 2129.0, 1400.0, 2129.0, 1000.0, 2500.0, 2129.0, 4000.0, 1000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
12, CEREAL, Finger Millet, Bag, 90.0, 41.0, 7200.0, 7200.0, 7600.0, 5400.0, 6800.0, 8100.0, 6300.0, 4500.0, 6638.0, 6638.0, 8100.0, 4500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
13, CEREAL, Sorghum, Bag, 90.0, 42.0, 3600.0, 1800.0, 3600.0, 3500.0, 3508.0, 5850.0, 2700.0, 3508.0, 3508.0, 3508.0, 5850.0, 1800.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
14, CEREAL, Wheat, Bag, 90.0, 48.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
15, LEGUMES, Beans Canadian, Bag, 90.0, 4.0, 5800.0, 5675.0, 7400.0, 5000.0, 5675.0, 5675.0, 5675.0, 4500.0, 5675.0, 5675.0, 7400.0, 4500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5.0, 5850.0, 5200.0, 7200.0, 5400.0, 5600.0, 6750.0, 7200.0, 4500.0, 5963.0, 5963.0, 7200.0, 4500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7.0, 5000.0, 4000.0, 4538.0, 3500.0, 4538.0, 6750.0, 4538.0, 4500.0, 3480.0, 4538.0, 6750.0, 3480.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, 5400.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35.0, 8250.0, 5940.0, 8238.0, 5400.0, 8238.0, 10800.0, 8238.0, 10800.0, 8238.0, 8238.0, 8250.0, 10800.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
20, LEGUMES, Green Gram, Bag, 90.0, 46.0, 6750.0, 5400.0, 8000.0, 5400.0, 7636.0, 9900.0, 7200.0, 10800.0, 7636.0, 7636.0, 9900.0, 10800.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
21, LEGUMES, Cowpeas, Bag, 90.0, 45.0, 6500.0, 2250.0, 7200.0, 6300.0, 5908.0, 7200.0, 5908.0, 6000.0, 5908.0, 5908.0, 7200.0, 2250.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
22, LEGUMES, Fresh Peas, Bag, 51.0, 27.0, 3200.0, 1500.0, 2500.0, 3000.0, 2372.0, 1530.0, 2372.0, 2500.0, 2372.0, 2372.0, 3200.0, 1500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
23, LEGUMES, Groundnuts, Bag, 110.0, 44.0, 10000.0, 10120.0, 8000.0, 8500.0, 12000.0, 10800.0, 13200.0, 14300.0, 10865.0, 10865.0, 8500.0, 10000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29.0, 3000.0, 2900.0, 2200.0, 3263.0, 3500.0, 2800.0, 4200.0, 3500.0, 4000.0, 3263.0, 4200.0, 2200.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30.0, 3000.0, 2900.0, 2200.0, 3500.0, 3314.0, 2600.0, 3314.0, 5000.0, 4000.0, 3314.0, 5000.0, 2200.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43.0, 2200.0, 2600.0, 3000.0, 2675.0, 2675.0, 2675.0, 2675.0, 2900.0, 2675.0, 2675.0, 3000.0, 2200.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31.0, 3100.0, 2700.0, 3200.0, 3000.0, 2700.0, 3800.0, 2500.0, 2200.0, 2900.0, 2900.0, 3800.0, 2200.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
