RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Chwele, Busia, Kakamega, Imenti, Machakos, Kitui, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 2700.0, 2700.0, 3200.0, 2800.0, 2500.0, 3600.0, 2300.0, 2800.0, 2733.3333333333335, 3200.0, 2250.0, 2900.0, 2700.0, 2799.0, 3600.0, 2250.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3380.0, 6210.0, 2660.0, 2000.0, 1950.0, 5000.0, 3055.0, 3055.0, 2000.0, 2800.0, 3000.0, 2600.0, 2000.0, 3055.0, 6210.0, 1950.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4914.0, 4800.0, 4500.0, 6300.0, 6300.0, 4500.0, 5000.0, 4266.666666666667, 4800.0, 7000.0, 5132.0, 4500.0, 5132.0, 7000.0, 4266.666666666667, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3500.0, 2700.0, 3520.0, 2700.0, 3600.0, 6300.0, 2700.0, 3600.0, 2880.0, 3200.0, 2400.0, 3317.0, 2700.0, 3317.0, 6300.0, 2400.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3360.0, 3360.0, 3360.0, 2700.0, 2600.0, 5400.0, 3600.0, 3360.0, 3360.0, 3360.0, 2500.0, 3360.0, 3360.0, 3360.0, 5400.0, 2500.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 6800.0, 6125.0, 7200.0, 6125.0, 6125.0, 7000.0, 4500.0, 6125.0, 6125.0, 6000.0, 4500.0, 5800.0, 7200.0, 6125.0, 7200.0, 4500.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6800.0, 6120.0, 6800.0, 6000.0, 6480.0, 6500.0, 4500.0, 6000.0, 6366.666666666667, 6000.0, 4500.0, 5500.0, 6000.0, 5967.0, 6800.0, 4500.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6500.0, 6060.0, 5690.0, 5800.0, 6480.0, 6750.0, 4500.0, 5200.0, 5690.0, 6000.0, 4500.0, 5600.0, 5200.0, 5690.0, 6750.0, 4500.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6400.0, 5909.0, 5909.0, 5800.0, 5909.0, 7160.0, 5909.0, 5909.0, 5909.0, 6000.0, 4500.0, 5500.0, 6000.0, 5909.0, 7160.0, 4500.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6900.0, 6480.0, 7485.0, 7200.0, 9000.0, 8100.0, 8100.0, 7485.0, 7485.0, 7485.0, 6300.0, 7485.0, 7800.0, 7485.0, 9000.0, 6300.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
