RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kisii, Kitale, Chwele, Busia, Kakamega, Nyahururu, Imenti, Machakos, Taveta, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3200.0, 3220.0, 3520.0, 2980.0, 2960.0, 3644.0, 3733.3333333333335, 2550.0, 2800.0, 2800.0, 2900.0, 2900.0, 3150.0, 3400.0, 3200.0, 3130.0, 3733.3333333333335, 2550.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 2920.0, 4600.0, 1920.0, 2400.0, 2300.0, 3540.0, 2616.0, 1450.0, 2200.0, 1500.0, 2400.0, 2000.0, 4000.0, 2400.0, 3000.0, 2616.0, 4600.0, 1450.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4680.0, 5000.0, 4800.0, 4560.0, 5426.0, 7260.0, 5400.0, 3777.5, 4400.0, 4500.0, 5600.0, 6500.0, 9000.0, 5386.0, 4500.0, 5386.0, 9000.0, 3777.5, wk-ending-0212011.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3680.0, 4050.0, 3600.0, 3600.0, 3960.0, 5400.0, 3482.0, 2580.0, 4000.0, 2700.0, 3200.0, 2500.0, 3000.0, 3482.0, 3000.0, 3482.0, 5400.0, 2500.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 4103.0, 4103.0, 4103.0, 3500.0, 3140.0, 5280.0, 4103.0, 3950.0, 4103.0, 4103.0, 4103.0, 2900.0, 5000.0, 4103.0, 4950.0, 4103.0, 5280.0, 2900.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5900.0, 5942.0, 7360.0, 5942.0, 6300.0, 7000.0, 5333.333333333333, 4275.0, 5942.0, 5942.0, 6000.0, 5500.0, 6000.0, 5800.0, 5890.0, 5942.0, 7360.0, 4275.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5880.0, 4940.0, 6720.0, 4880.0, 5212.0, 7120.0, 5333.333333333333, 4275.0, 4700.0, 5400.0, 5450.0, 4500.0, 6300.0, 5700.0, 5400.0, 5454.0, 7120.0, 4275.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5520.0, 6380.0, 5624.0, 4800.0, 6300.0, 6450.0, 5333.333333333333, 4275.0, 4200.0, 5624.0, 5450.0, 6000.0, 6300.0, 5800.0, 6300.0, 5624.0, 6450.0, 4200.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5260.0, 5714.0, 5714.0, 4080.0, 6300.0, 7120.0, 5714.0, 5714.0, 5714.0, 5714.0, 5450.0, 5714.0, 6300.0, 5800.0, 5400.0, 5714.0, 7120.0, 4080.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 5360.0, 6390.0, 6894.0, 5800.0, 9000.0, 8120.0, 6894.0, 7875.0, 6894.0, 6894.0, 6894.0, 6200.0, 7000.0, 6894.0, 6300.0, 6894.0, 9000.0, 5360.0, wk-ending-0212011.xls, 2020-01-09 13:10:47
