RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Ksm, Nku, Eldoret, Malindi, Chwel, Kak, Nyahururu, Imen, Kitale, Busia, Loitktk, Taveta, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 3200.0, 3140.0, 3600.0, 3000.0, 2800.0, 3700.0, 2600.0, 3200.0, 2700.0, 3000.0, 2300.0, 2460.0, 3600.0, 3300.0, 3043.0, 3700.0, 2300.0, wk-ending-131012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3400.0, 2760.0, 1840.0, 1640.0, 2500.0, 4000.0, 2709.0, 2600.0, 3162.5, 3500.0, 1600.0, 2709.0, 2000.0, 3500.0, 2709.0, 4000.0, 1600.0, wk-ending-131012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 4800.0, 4500.0, 6300.0, 7200.0, 4800.0, 6200.0, 6550.0, 8500.0, 4275.0, 4500.0, 5521.0, 4500.0, 5521.0, 8500.0, 4275.0, wk-ending-131012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3800.0, 4050.0, 3600.0, 3600.0, 3600.0, 5400.0, 4000.0, 2800.0, 2600.0, 3000.0, 2700.0, 2460.0, 3578.0, 4900.0, 3578.0, 5400.0, 2460.0, wk-ending-131012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 4209.0, 4209.0, 4209.0, 3260.0, 2900.0, 5400.0, 4209.0, 4209.0, 2900.0, 5000.0, 4000.0, 4209.0, 4209.0, 6000.0, 4209.0, 6000.0, 2900.0, wk-ending-131012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 5360.0, 5851.0, 7200.0, 5851.0, 5851.0, 7200.0, 5851.0, 6600.0, 5750.0, 5400.0, 3900.0, 5851.0, 5851.0, 5400.0, 5851.0, 7200.0, 3900.0, wk-ending-131012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 5360.0, 5700.0, 6420.0, 5000.0, 5400.0, 7200.0, 4800.0, 6400.0, 4700.0, 5400.0, 4100.0, 6300.0, 5629.0, 6400.0, 5629.0, 7200.0, 4100.0, wk-ending-131012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5160.0, 5280.0, 5353.0, 4800.0, 5400.0, 7000.0, 4000.0, 6400.0, 6000.0, 5400.0, 4000.0, 5353.0, 4500.0, 6300.0, 5353.0, 7000.0, 4000.0, wk-ending-131012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5360.0, 5760.0, 5760.0, 4800.0, 5760.0, 7200.0, 5760.0, 6400.0, 5760.0, 5400.0, 5760.0, 5760.0, 5760.0, 5400.0, 5760.0, 7200.0, 4800.0, wk-ending-131012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6420.0, 6300.0, 7047.0, 5400.0, 9100.0, 8200.0, 7047.0, 7047.0, 6450.0, 7000.0, 8100.0, 7047.0, 7200.0, 6300.0, 7047.0, 9100.0, 5400.0, wk-ending-131012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7600.0, 6300.0, 8000.0, 5800.0, 10800.0, 9600.0, 8000.0, 11000.0, 8250.0, 7000.0, 6300.0, 7200.0, 9000.0, 8100.0, 8068.0, 9600.0, 10800.0, wk-ending-131012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7600.0, 6300.0, 7200.0, 10000.0, 5320.0, 6300.0, 8000.0, 6400.0, 6000.0, 6500.0, 6660.0, 7200.0, 6837.0, 5400.0, 6837.0, 8000.0, 10000.0, wk-ending-131012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3360.0, 2844.0, 2580.0, 2140.0, 2244.0, 2633.0, 2633.0, 2633.0, 1657.5, 4200.0, 2040.0, 2633.0, 2633.0, 2633.0, 2633.0, 4200.0, 1657.5, wk-ending-131012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 11000.0, 11550.0, 10000.0, 11000.0, 13200.0, 13050.0, 10000.0, 11200.0, 9600.0, 8500.0, 12100.0, 9900.0, 10169.0, 1100.0, 10169.0, 9900.0, 10000.0, wk-ending-131012.xls, 2020-01-09 13:10:47
