RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Taveta, Isiolo, Imenti, Kitale, Chwele, Kakamega, Busia, Karatina, Kisii, Average, Max, Min, FileName, DateOfUpload
8, CEREAL, Dry Maize, Bag, 90.0, 20, 2960.0, 3200.0, 4240.0, 3180.0, 3120.0, 3660.0, 3000.0, 3500.0, 2250.0, 3200.0, 3500.0, 3200.0, 3600.0, 3600.0, 4000.0, 3347.0, 4240.0, 2250.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
9, CEREAL, Green Maize, Ext Bag, 115.0, 19, 3760.0, 5480.0, 3000.0, 2500.0, 2700.0, 4500.0, 4000.0, 3500.0, 2800.0, 2200.0, 3380.0, 2900.0, 2600.0, 4000.0, 3380.0, 3380.0, 5480.0, 2200.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
10, CEREAL, Finger Millet, Bag, 90.0, 41, 4700.0, 4950.0, 5920.0, 4500.0, 6300.0, 6440.0, 4500.0, 6300.0, 7000.0, 4500.0, 6600.0, 4800.0, 5400.0, 6000.0, 7600.0, 5701.0, 7600.0, 4500.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
11, CEREAL, Sorghum, Bag, 90.0, 42, 3300.0, 2700.0, 3840.0, 2700.0, 4230.0, 6440.0, 3600.0, 4500.0, 2400.0, 3600.0, 4000.0, 3200.0, 3732.0, 4000.0, 3732.0, 3732.0, 6440.0, 2400.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
12, CEREAL, Wheat, Bag, 90.0, 48, 3694.0, 3694.0, 3694.0, 2700.0, 3000.0, 5400.0, 4950.0, 3600.0, 2500.0, 3600.0, 3694.0, 3694.0, 3694.0, 3800.0, 3694.0, 3694.0, 5400.0, 2500.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
13, LEGUMES, Beans Canadian, Bag, 90.0, 4, 6000.0, 6131.0, 7680.0, 6131.0, 6131.0, 6300.0, 6300.0, 6131.0, 4500.0, 5000.0, 6131.0, 6000.0, 6131.0, 6200.0, 7200.0, 6131.0, 7680.0, 4500.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
14, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6000.0, 6100.0, 7040.0, 6000.0, 8100.0, 6500.0, 5890.0, 7200.0, 4500.0, 5000.0, 6000.0, 6000.0, 6300.0, 6200.0, 7600.0, 6295.0, 8100.0, 4500.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 5800.0, 6250.0, 5838.0, 5800.0, 7200.0, 6500.0, 6300.0, 6500.0, 4500.0, 5000.0, 4400.0, 6000.0, 5838.0, 5800.0, 5838.0, 5838.0, 7200.0, 4400.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
16, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 5800.0, 5957.0, 5957.0, 5800.0, 5957.0, 7000.0, 5400.0, 7200.0, 4500.0, 5957.0, 5957.0, 6000.0, 5957.0, 5957.0, 5957.0, 5957.0, 7200.0, 4500.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
17, OTHERS, Beans Dolichos (Njahi), Bag, 90.0, 0, 6720.0, 6480.0, 7357.0, 7200.0, 9000.0, 7500.0, 6300.0, 9000.0, 6300.0, 8066.666666666667, 7357.0, 7357.0, 7357.0, 7000.0, 7357.0, 7357.0, 9000.0, 6300.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
18, LEGUMES, Green Gram, Bag, 90.0, 46, 7500.0, 6642.0, 7840.0, 6700.0, 13680.0, 9200.0, 9000.0, 9000.0, 4500.0, 8500.0, 6000.0, 7200.0, 8100.0, 7000.0, 7919.0, 7919.0, 9200.0, 13680.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
19, LEGUMES, Cowpeas, Bag, 90.0, 45, 7000.0, 6210.0, 7320.0, 7000.0, 5696.0, 9000.0, 5400.0, 6300.0, 5400.0, 7000.0, 8000.0, 8000.0, 7200.0, 6000.0, 6823.0, 6823.0, 9000.0, 5400.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
20, LEGUMES, Fresh Peas, Bag, 51.0, 27, 3640.0, 2652.0, 2680.0, 4500.0, 3432.0, 3496.0, 3496.0, 3496.0, 4000.0, 3060.0, 3496.0, 3496.0, 3496.0, 4000.0, 3496.0, 3496.0, 4500.0, 2652.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
21, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 13350.0, 10000.0, 11000.0, 14300.0, 13720.0, 11000.0, 13000.0, 7000.0, 12100.0, 10680.0, 10000.0, 14300.0, 10000.0, 10000.0, 11497.0, 7000.0, 10000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
22, ROOTS & TUBERS, Red Irish Potatoes, Bag, 110.0, 29, 5040.0, 3910.0, 6000.0, 5500.0, 4360.0, 4741.0, 3000.0, 6000.0, 3700.0, 4266.666666666667, 4350.0, 4741.0, 5500.0, 5000.0, 5000.0, 4741.0, 6000.0, 3000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
23, ROOTS & TUBERS, White Irish Potatoes, Bag, 110.0, 30, 5280.0, 5340.0, 6000.0, 5500.0, 4200.0, 5040.0, 4902.0, 4902.0, 3700.0, 4266.666666666667, 4500.0, 5000.0, 5000.0, 5000.0, 4902.0, 4902.0, 6000.0, 3700.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2200.0, 1760.0, 1800.0, 4000.0, 1700.0, 3960.0, 2000.0, 2169.0, 1500.0, 1700.0, 1070.0, 2169.0, 2169.0, 2169.0, 2169.0, 2169.0, 4000.0, 1070.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 4140.0, 3680.0, 2500.0, 4000.0, 1960.0, 3964.0, 2400.0, 2000.0, 2000.0, 2600.0, 2885.0, 2400.0, 2400.0, 4650.0, 1700.0, 2885.0, 4650.0, 1700.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
26, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 2920.0, 2900.0, 2160.0, 2500.0, 1500.0, 4000.0, 3000.0, 1866.6666666666667, 1000.0, 1766.6666666666667, 1200.0, 4750.0, 3500.0, 2000.0, 1700.0, 2451.0, 4750.0, 1000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
27, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 568.0, 500.0, 340.0, 500.0, 900.0, 484.0, 250.0, 1200.0, 400.0, 400.0, 450.0, 600.0, 1000.0, 400.0, 571.0, 571.0, 900.0, 1000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 650.0, 420.0, 340.0, 250.0, 1022.0, 600.0, 636.0, 1200.0, 500.0, 630.0, 350.0, 500.0, 1400.0, 400.0, 636.0, 636.0, 650.0, 1022.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3140.0, 5200.0, 3760.0, 2000.0, 3068.0, 4400.0, 3000.0, 3933.3333333333335, 800.0, 4140.0, 3645.0, 6000.0, 4100.0, 3850.0, 3645.0, 3645.0, 800.0, 2000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 3340.0, 2350.0, 4100.0, 2640.0, 4020.0, 3884.0, 2500.0, 2833.3333333333335, 800.0, 3366.6666666666665, 2350.0, 4500.0, 3000.0, 3600.0, 4000.0, 3152.0, 800.0, 2350.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Onions Dry, net, 13.0, 22, 1300.0, 1060.0, 1300.0, 3360.0, 1300.0, 1450.0, 1160.0, 1950.0, 500.0, 1126.6666666666667, 975.0, 877.5, 1300.0, 1000.0, 2000.0, 1377.0, 975.0, 1000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2040.0, 1230.0, 1320.0, 1000.0, 1160.0, 1585.0, 1585.0, 1585.0, 1500.0, 1700.0, 2100.0, 1585.0, 1585.0, 3000.0, 800.0, 1585.0, 800.0, 1000.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Chillies, Bag, 38.0, 11, 3120.0, 1650.0, 1600.0, 3000.0, 2531.0, 4616.0, 2531.0, 2531.0, 1200.0, 2531.0, 2531.0, 2531.0, 2531.0, 2531.0, 2531.0, 2531.0, 4616.0, 1200.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Cucumber, Bag, 50.0, 14, 1900.0, 2900.0, 2325.0, 2325.0, 2325.0, 2500.0, 2325.0, 2325.0, 2325.0, 2000.0, 2325.0, 2325.0, 2325.0, 2325.0, 2325.0, 2325.0, 2900.0, 1900.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3420.0, 2950.0, 1800.0, 2500.0, 3666.6666666666665, 4920.0, 2787.0, 2787.0, 1500.0, 3000.0, 2400.0, 2787.0, 2000.0, 2500.0, 2787.0, 2787.0, 4920.0, 1500.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Brinjals, Bag, 44.0, 8, 1790.0, 1144.0, 1600.0, 1500.0, 1559.0, 1760.0, 1559.0, 1559.0, 1559.0, 1559.0, 1559.0, 1559.0, 1559.0, 1559.0, 1559.0, 1559.0, 1790.0, 1144.0, wk-ending-2742012.xls, 2020-01-09 13:10:47
